kse_pow_dem_diff,gen_wi_diff,gen_fv_diff,rez_over_demand_diff,rez_under_diff,timestamp
0.0,-5.0,19.0,0.0,0.0,2025-07-19 20:30:00
0.0,-4.0,11.0,0.0,0.0,2025-07-19 20:45:00
0.0,-3.0,5.0,0.0,0.0,2025-07-19 21:00:00
0.0,-4.0,1.0,0.0,0.0,2025-07-19 21:15:00
0.0,-4.0,0.0,0.0,0.0,2025-07-19 21:30:00
0.0,-4.0,0.0,0.0,0.0,2025-07-19 21:45:00
0.0,-3.0,0.0,0.0,0.0,2025-07-19 22:00:00
0.0,-4.0,0.0,0.0,0.0,2025-07-19 22:15:00
0.0,-3.0,0.0,0.0,0.0,2025-07-19 22:30:00
0.0,-3.0,0.0,0.0,0.0,2025-07-19 22:45:00
0.0,-3.0,0.0,0.0,0.0,2025-07-19 23:00:00
0.0,-3.0,0.0,0.0,0.0,2025-07-19 23:15:00
0.0,-2.0,0.0,0.0,0.0,2025-07-19 23:30:00
0.0,-2.0,0.0,0.0,0.0,2025-07-19 23:45:00
0.0,-3.0,0.0,0.0,0.0,2025-07-20 00:00:00
