dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par,sume_oze
2025-03-14 00:15:00,0.0,3681.0,00:00 - 00:15,,,5413.0,2025-03-13 23:15:00,2296.0,23:00 - 23:15,16600.0,,,2025-03-14,0.0,,10339.0,,,,,2025-03-13 15:23:25.563,4913.0,0.0,1532.0,,19393.0,,,,,8135.0,2025-03-13 14:23:25.563,10339.0,20925.0,300.0,-2202.0,3681.0
2025-03-14 00:30:00,0.0,3530.0,00:15 - 00:30,,,5413.0,2025-03-13 23:30:00,2248.0,23:15 - 23:30,16400.0,,,2025-03-14,0.0,,10291.0,,,,,2025-03-13 15:23:25.563,4961.0,0.0,1532.0,,19393.0,,,,,7983.0,2025-03-13 14:23:25.563,10291.0,20925.0,300.0,-2202.0,3530.0
2025-03-14 00:45:00,0.0,3378.0,00:30 - 00:45,,,5413.0,2025-03-13 23:45:00,2299.0,23:30 - 23:45,16300.0,,,2025-03-14,0.0,,10343.0,,,,,2025-03-13 15:23:25.563,4910.0,0.0,1532.0,,19393.0,,,,,7831.0,2025-03-13 14:23:25.563,10343.0,20925.0,300.0,-2202.0,3378.0
2025-03-14 01:00:00,0.0,3226.0,00:45 - 01:00,,,5413.0,2025-03-14 00:00:00,2478.0,23:45 - 24:00,16200.0,,,2025-03-14,0.0,,10528.0,,,,,2025-03-13 15:23:25.563,4731.0,134.0,1532.0,,19393.0,,,,,7680.0,2025-03-13 14:23:25.563,10528.0,20925.0,300.0,-2202.0,3226.0
2025-03-14 01:15:00,0.0,3090.0,01:00 - 01:15,,,5413.0,2025-03-14 00:15:00,2555.0,00:00 - 00:15,16100.0,,,2025-03-14,0.0,,10611.0,,,,,2025-03-13 15:23:25.563,4654.0,197.0,1532.0,,19393.0,,,,,7535.0,2025-03-13 14:23:25.563,10611.0,20925.0,0.0,-1877.0,3090.0
2025-03-14 01:30:00,0.0,2951.0,01:15 - 01:30,,,5413.0,2025-03-14 00:30:00,2587.0,00:15 - 00:30,16000.0,,,2025-03-14,0.0,,10650.0,,,,,2025-03-13 15:23:25.563,4622.0,197.0,1532.0,,19393.0,,,,,7396.0,2025-03-13 14:23:25.563,10650.0,20925.0,0.0,-1877.0,2951.0
2025-03-14 01:45:00,0.0,2813.0,01:30 - 01:45,,,5413.0,2025-03-14 00:45:00,2665.0,00:30 - 00:45,15950.0,,,2025-03-14,0.0,,10738.0,,,,,2025-03-13 15:23:25.563,4544.0,197.0,1532.0,,19393.0,,,,,7258.0,2025-03-13 14:23:25.563,10738.0,20925.0,0.0,-1877.0,2813.0
2025-03-14 02:00:00,0.0,2674.0,01:45 - 02:00,,,5413.0,2025-03-14 01:00:00,2747.0,00:45 - 01:00,15900.0,,,2025-03-14,0.0,,10827.0,,,,,2025-03-13 15:23:25.563,4462.0,197.0,1532.0,,19393.0,,,,,7119.0,2025-03-13 14:23:25.563,10827.0,20925.0,0.0,-1877.0,2674.0
2025-03-14 02:15:00,0.0,2538.0,02:00 - 02:15,,,5413.0,2025-03-14 01:15:00,2777.0,01:00 - 01:15,15900.0,,,2025-03-14,0.0,,10745.0,,,,,2025-03-13 15:23:25.563,4325.0,197.0,1532.0,,19393.0,,,,,6989.0,2025-03-13 14:23:25.563,10745.0,20925.0,267.0,-1931.0,2538.0
2025-03-14 02:30:00,0.0,2378.0,02:15 - 02:30,,,5413.0,2025-03-14 01:30:00,2924.0,01:15 - 01:30,15900.0,,,2025-03-14,0.0,,10906.0,,,,,2025-03-13 15:23:25.563,4178.0,197.0,1532.0,,19393.0,,,,,6828.0,2025-03-13 14:23:25.563,10906.0,20925.0,267.0,-1931.0,2378.0
2025-03-14 02:45:00,0.0,2233.0,02:30 - 02:45,,,5413.0,2025-03-14 01:45:00,3051.0,01:30 - 01:45,15900.0,,,2025-03-14,0.0,,11050.0,,,,,2025-03-13 15:23:25.563,4051.0,197.0,1532.0,,19393.0,,,,,6684.0,2025-03-13 14:23:25.563,11050.0,20925.0,267.0,-1931.0,2233.0
2025-03-14 03:00:00,0.0,2089.0,02:45 - 03:00,,,5413.0,2025-03-14 02:00:00,3181.0,01:45 - 02:00,15900.0,,,2025-03-14,0.0,,11195.0,,,,,2025-03-13 15:23:25.563,3921.0,197.0,1532.0,,19393.0,,,,,6539.0,2025-03-13 14:23:25.563,11195.0,20925.0,267.0,-1931.0,2089.0
2025-03-14 03:15:00,0.0,1947.0,03:00 - 03:15,,,5413.0,2025-03-14 02:15:00,2542.0,02:00 - 02:15,15950.0,,,2025-03-14,0.0,,10556.0,,,,,2025-03-13 15:23:25.563,4646.0,197.0,1532.0,,19393.0,,,,,6403.0,2025-03-13 14:23:25.563,10556.0,20925.0,153.0,-992.0,1947.0
2025-03-14 03:30:00,0.0,1813.0,03:15 - 03:30,,,5413.0,2025-03-14 02:30:00,2725.0,02:15 - 02:30,16000.0,,,2025-03-14,0.0,,10739.0,,,,,2025-03-13 15:23:25.563,4463.0,197.0,1532.0,,19393.0,,,,,6270.0,2025-03-13 14:23:25.563,10739.0,20925.0,153.0,-992.0,1813.0
2025-03-14 03:45:00,0.0,1680.0,03:30 - 03:45,,,5413.0,2025-03-14 02:45:00,2909.0,02:30 - 02:45,16050.0,,,2025-03-14,0.0,,10923.0,,,,,2025-03-13 15:23:25.563,4279.0,197.0,1532.0,,19393.0,,,,,6136.0,2025-03-13 14:23:25.563,10923.0,20925.0,153.0,-992.0,1680.0
2025-03-14 04:00:00,0.0,1547.0,03:45 - 04:00,,,5413.0,2025-03-14 03:00:00,3092.0,02:45 - 03:00,16100.0,,,2025-03-14,0.0,,11106.0,,,,,2025-03-13 15:23:25.563,4096.0,197.0,1532.0,,19393.0,,,,,6003.0,2025-03-13 14:23:25.563,11106.0,20925.0,153.0,-992.0,1547.0
2025-03-14 04:15:00,0.0,1433.0,04:00 - 04:15,,,5413.0,2025-03-14 03:15:00,2737.0,03:00 - 03:15,16200.0,,,2025-03-14,0.0,,10751.0,,,,,2025-03-13 15:23:25.563,4451.0,197.0,1532.0,,19393.0,,,,,5881.0,2025-03-13 14:23:25.563,10751.0,20925.0,-147.0,-116.0,1433.0
