dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par,sume_oze
2024-12-30 00:15:00,0.0,5356.0,00:00 - 00:15,,,4145.0,2024-12-29 23:15:00,592.0,23:00 - 23:15,14500.0,,,2024-12-30,0.0,,6154.0,,,,,2024-12-29 15:45:16.025,5098.0,32.0,1477.0,,21311.0,,,,,9835.0,2024-12-29 14:45:16.025,6154.0,22788.0,500.0,-1947.0,5356.0
2024-12-30 00:30:00,0.0,5437.0,00:15 - 00:30,,,4145.0,2024-12-29 23:30:00,799.0,23:15 - 23:30,14350.0,,,2024-12-30,0.0,,5923.0,,,,,2024-12-29 15:45:16.025,4348.0,32.0,1477.0,,21311.0,,,,,9916.0,2024-12-29 14:45:16.025,5923.0,22788.0,500.0,-1947.0,5437.0
2024-12-30 00:45:00,0.0,5518.0,00:30 - 00:45,,,4145.0,2024-12-29 23:45:00,577.0,23:30 - 23:45,14200.0,,,2024-12-30,0.0,,5701.0,,,,,2024-12-29 15:45:16.025,4570.0,32.0,1477.0,,21311.0,,,,,9998.0,2024-12-29 14:45:16.025,5701.0,22788.0,500.0,-1947.0,5518.0
2024-12-30 01:00:00,0.0,5600.0,00:45 - 01:00,,,4145.0,2024-12-30 00:00:00,794.0,23:45 - 24:00,14100.0,,,2024-12-30,0.0,,5917.0,,,,,2024-12-29 15:45:16.025,4354.0,439.0,1477.0,,21311.0,,,,,10079.0,2024-12-29 14:45:16.025,5917.0,22788.0,500.0,-1947.0,5600.0
2024-12-30 01:15:00,0.0,5680.0,01:00 - 01:15,,,4145.0,2024-12-30 00:15:00,745.0,00:00 - 00:15,14000.0,,,2024-12-30,0.0,,5869.0,,,,,2024-12-29 15:45:16.025,4402.0,502.0,1477.0,,21311.0,,,,,10157.0,2024-12-29 14:45:16.025,5869.0,22788.0,550.0,-2064.0,5680.0
2024-12-30 01:30:00,0.0,5758.0,01:15 - 01:30,,,4145.0,2024-12-30 00:30:00,577.0,00:15 - 00:30,13900.0,,,2024-12-30,0.0,,5701.0,,,,,2024-12-29 15:45:16.025,4570.0,502.0,1477.0,,21311.0,,,,,10235.0,2024-12-29 14:45:16.025,5701.0,22788.0,550.0,-2064.0,5758.0
2024-12-30 01:45:00,0.0,5835.0,01:30 - 01:45,,,4145.0,2024-12-30 00:45:00,577.0,00:30 - 00:45,13800.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,502.0,1477.0,,21311.0,,,,,10312.0,2024-12-29 14:45:16.025,5613.0,22788.0,550.0,-2064.0,5835.0
2024-12-30 02:00:00,0.0,5913.0,01:45 - 02:00,,,4145.0,2024-12-30 01:00:00,673.0,00:45 - 01:00,13750.0,,,2024-12-30,0.0,,5709.0,,,,,2024-12-29 15:45:16.025,4336.0,825.0,1477.0,,21311.0,,,,,10390.0,2024-12-29 14:45:16.025,5709.0,22788.0,550.0,-2064.0,5913.0
2024-12-30 02:15:00,0.0,5989.0,02:00 - 02:15,,,4145.0,2024-12-30 01:15:00,592.0,01:00 - 01:15,13700.0,,,2024-12-30,0.0,,5628.0,,,,,2024-12-29 15:45:16.025,4417.0,825.0,1477.0,,21311.0,,,,,10459.0,2024-12-29 14:45:16.025,5628.0,22788.0,550.0,-2102.0,5989.0
2024-12-30 02:30:00,0.0,6066.0,02:15 - 02:30,,,4145.0,2024-12-30 01:30:00,577.0,01:15 - 01:30,13650.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,10537.0,2024-12-29 14:45:16.025,5613.0,22788.0,550.0,-2102.0,6066.0
2024-12-30 02:45:00,0.0,6143.0,02:30 - 02:45,,,4145.0,2024-12-30 01:45:00,577.0,01:30 - 01:45,13650.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,10614.0,2024-12-29 14:45:16.025,5613.0,22788.0,550.0,-2102.0,6143.0
2024-12-30 03:00:00,0.0,6220.0,02:45 - 03:00,,,4145.0,2024-12-30 02:00:00,577.0,01:45 - 02:00,13650.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,10691.0,2024-12-29 14:45:16.025,5613.0,22788.0,550.0,-2102.0,6220.0
2024-12-30 03:15:00,0.0,6298.0,03:00 - 03:15,,,4145.0,2024-12-30 02:15:00,577.0,02:00 - 02:15,13650.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,10763.0,2024-12-29 14:45:16.025,5613.0,22788.0,550.0,-2366.0,6298.0
2024-12-30 03:30:00,0.0,6365.0,03:15 - 03:30,,,4145.0,2024-12-30 02:30:00,577.0,02:15 - 02:30,13650.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,10830.0,2024-12-29 14:45:16.025,5613.0,22788.0,550.0,-2366.0,6365.0
2024-12-30 03:45:00,0.0,6433.0,03:30 - 03:45,,,4145.0,2024-12-30 02:45:00,577.0,02:30 - 02:45,13650.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,10898.0,2024-12-29 14:45:16.025,5613.0,22788.0,550.0,-2366.0,6433.0
2024-12-30 04:00:00,0.0,6500.0,03:45 - 04:00,,,4145.0,2024-12-30 03:00:00,577.0,02:45 - 03:00,13650.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,10966.0,2024-12-29 14:45:16.025,5613.0,22788.0,550.0,-2366.0,6500.0
2024-12-30 04:15:00,0.0,6545.0,04:00 - 04:15,,,4145.0,2024-12-30 03:15:00,577.0,03:00 - 03:15,13750.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,11009.0,2024-12-29 14:45:16.025,5613.0,22788.0,470.0,-2349.0,6545.0
2024-12-30 04:30:00,0.0,6583.0,04:15 - 04:30,,,4145.0,2024-12-30 03:30:00,577.0,03:15 - 03:30,13850.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,11047.0,2024-12-29 14:45:16.025,5613.0,22788.0,470.0,-2349.0,6583.0
2024-12-30 04:45:00,0.0,6620.0,04:30 - 04:45,,,4145.0,2024-12-30 03:45:00,577.0,03:30 - 03:45,13950.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,825.0,1477.0,,21311.0,,,,,11085.0,2024-12-29 14:45:16.025,5613.0,22788.0,470.0,-2349.0,6620.0
2024-12-30 05:00:00,0.0,6658.0,04:45 - 05:00,,,4145.0,2024-12-30 04:00:00,605.0,03:45 - 04:00,14050.0,,,2024-12-30,0.0,,5641.0,,,,,2024-12-29 15:45:16.025,4404.0,825.0,1477.0,,21311.0,,,,,11123.0,2024-12-29 14:45:16.025,5641.0,22788.0,470.0,-2349.0,6658.0
2024-12-30 05:15:00,0.0,6694.0,05:00 - 05:15,,,4145.0,2024-12-30 04:15:00,577.0,04:00 - 04:15,14300.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,438.0,1477.0,,21311.0,,,,,11155.0,2024-12-29 14:45:16.025,5613.0,22788.0,470.0,-2198.0,6694.0
2024-12-30 05:30:00,0.0,6728.0,05:15 - 05:30,,,4145.0,2024-12-30 04:30:00,577.0,04:15 - 04:30,14500.0,,,2024-12-30,0.0,,5613.0,,,,,2024-12-29 15:45:16.025,4432.0,438.0,1477.0,,21311.0,,,,,11189.0,2024-12-29 14:45:16.025,5613.0,22788.0,470.0,-2198.0,6728.0
2024-12-30 05:45:00,0.0,6762.0,05:30 - 05:45,,,4145.0,2024-12-30 04:45:00,681.0,04:30 - 04:45,14850.0,,,2024-12-30,0.0,,5804.0,,,,,2024-12-29 15:45:16.025,4328.0,438.0,1477.0,,21311.0,,,,,11222.0,2024-12-29 14:45:16.025,5804.0,22788.0,470.0,-2198.0,6762.0
2024-12-30 06:00:00,0.0,6796.0,05:45 - 06:00,,,4145.0,2024-12-30 05:00:00,930.0,04:45 - 05:00,15350.0,,,2024-12-30,0.0,,6270.0,,,,,2024-12-29 15:45:16.025,4079.0,438.0,1477.0,,21311.0,,,,,11256.0,2024-12-29 14:45:16.025,6270.0,22788.0,470.0,-2198.0,6796.0
2024-12-30 06:15:00,0.0,6827.0,06:00 - 06:15,,,4145.0,2024-12-30 05:15:00,577.0,05:00 - 05:15,15850.0,,,2024-12-30,0.0,,5954.0,,,,,2024-12-29 15:45:16.025,4432.0,0.0,1477.0,,21311.0,,,,,11327.0,2024-12-29 14:45:16.025,5954.0,22788.0,470.0,-1845.0,6827.0
