data,kwadrans,sk_d1_fcst,sk_d_fcst,sk_cost,dtime,dtime_utc,period,period_utc,business_date,publication_ts,publication_ts_utc
2025-06-25,00:00 - 00:15,-192.717,-303.506,-293.384,2025-06-25 00:15:00,2025-06-24 22:15:00,00:00 - 00:15,22:00 - 22:15,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,00:15 - 00:30,-283.974,-294.08,-294.08,2025-06-25 00:30:00,2025-06-24 22:30:00,00:15 - 00:30,22:15 - 22:30,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,00:30 - 00:45,-239.349,-266.378,-266.378,2025-06-25 00:45:00,2025-06-24 22:45:00,00:30 - 00:45,22:30 - 22:45,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,00:45 - 01:00,-198.727,-179.138,-179.138,2025-06-25 01:00:00,2025-06-24 23:00:00,00:45 - 01:00,22:45 - 23:00,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,01:00 - 01:15,-212.358,-213.243,-213.243,2025-06-25 01:15:00,2025-06-24 23:15:00,01:00 - 01:15,23:00 - 23:15,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,01:15 - 01:30,-174.983,-179.246,-179.246,2025-06-25 01:30:00,2025-06-24 23:30:00,01:15 - 01:30,23:15 - 23:30,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,01:30 - 01:45,-116.36,-105.018,-105.018,2025-06-25 01:45:00,2025-06-24 23:45:00,01:30 - 01:45,23:30 - 23:45,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,01:45 - 02:00,-83.648,-70.899,-70.899,2025-06-25 02:00:00,2025-06-25 00:00:00,01:45 - 02:00,23:45 - 24:00,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,02:00 - 02:15,-10.693,-74.308,-74.308,2025-06-25 02:15:00,2025-06-25 00:15:00,02:00 - 02:15,00:00 - 00:15,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,02:15 - 02:30,-12.568,-15.604,-15.604,2025-06-25 02:30:00,2025-06-25 00:30:00,02:15 - 02:30,00:15 - 00:30,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,02:30 - 02:45,77.307,-23.328,-23.328,2025-06-25 02:45:00,2025-06-25 00:45:00,02:30 - 02:45,00:30 - 00:45,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,02:45 - 03:00,106.542,-11.167,-11.167,2025-06-25 03:00:00,2025-06-25 01:00:00,02:45 - 03:00,00:45 - 01:00,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,03:00 - 03:15,90.277,-46.218,-46.218,2025-06-25 03:15:00,2025-06-25 01:15:00,03:00 - 03:15,01:00 - 01:15,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,03:15 - 03:30,139.153,-24.855,-24.855,2025-06-25 03:30:00,2025-06-25 01:30:00,03:15 - 03:30,01:15 - 01:30,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,03:30 - 03:45,154.278,10.917,10.917,2025-06-25 03:45:00,2025-06-25 01:45:00,03:30 - 03:45,01:30 - 01:45,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,03:45 - 04:00,203.211,-3.233,-3.233,2025-06-25 04:00:00,2025-06-25 02:00:00,03:45 - 04:00,01:45 - 02:00,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,04:00 - 04:15,193.644,66.165,66.165,2025-06-25 04:15:00,2025-06-25 02:15:00,04:00 - 04:15,02:00 - 02:15,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,04:15 - 04:30,209.121,47.573,47.573,2025-06-25 04:30:00,2025-06-25 02:30:00,04:15 - 04:30,02:15 - 02:30,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,04:30 - 04:45,214.473,45.492,45.492,2025-06-25 04:45:00,2025-06-25 02:45:00,04:30 - 04:45,02:30 - 02:45,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,04:45 - 05:00,214.473,51.483,51.483,2025-06-25 05:00:00,2025-06-25 03:00:00,04:45 - 05:00,02:45 - 03:00,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,05:00 - 05:15,175.774,22.33,22.33,2025-06-25 05:15:00,2025-06-25 03:15:00,05:00 - 05:15,03:00 - 03:15,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,05:15 - 05:30,133.451,12.808,12.808,2025-06-25 05:30:00,2025-06-25 03:30:00,05:15 - 05:30,03:15 - 03:30,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,05:30 - 05:45,110.076,-28.092,-28.092,2025-06-25 05:45:00,2025-06-25 03:45:00,05:30 - 05:45,03:30 - 03:45,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,05:45 - 06:00,33.326,-88.441,-88.441,2025-06-25 06:00:00,2025-06-25 04:00:00,05:45 - 06:00,03:45 - 04:00,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,06:00 - 06:15,-6.506,-105.455,-105.455,2025-06-25 06:15:00,2025-06-25 04:15:00,06:00 - 06:15,04:00 - 04:15,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,06:15 - 06:30,-19.774,-128.282,-128.282,2025-06-25 06:30:00,2025-06-25 04:30:00,06:15 - 06:30,04:15 - 04:30,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,06:30 - 06:45,-59.586,-110.975,-110.975,2025-06-25 06:45:00,2025-06-25 04:45:00,06:30 - 06:45,04:30 - 04:45,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
2025-06-25,06:45 - 07:00,-93.522,-108.732,-108.732,2025-06-25 07:00:00,2025-06-25 05:00:00,06:45 - 07:00,04:45 - 05:00,2025-06-25,2025-06-26 14:20:21.525,2025-06-26 12:20:21.525
