data,kwadrans,sk_d1_fcst,sk_d_fcst,sk_cost,dtime,dtime_utc,period,period_utc,business_date,publication_ts,publication_ts_utc
2025-06-24,00:00 - 00:15,-5.935,-142.253,-145.129,2025-06-24 00:15:00,2025-06-23 22:15:00,00:00 - 00:15,22:00 - 22:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,00:15 - 00:30,-76.498,-116.864,-116.864,2025-06-24 00:30:00,2025-06-23 22:30:00,00:15 - 00:30,22:15 - 22:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,00:30 - 00:45,-21.748,-119.49,-119.49,2025-06-24 00:45:00,2025-06-23 22:45:00,00:30 - 00:45,22:30 - 22:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,00:45 - 01:00,-7.114,-108.89,-108.89,2025-06-24 01:00:00,2025-06-23 23:00:00,00:45 - 01:00,22:45 - 23:00,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,01:00 - 01:15,-39.839,-199.906,-199.906,2025-06-24 01:15:00,2025-06-23 23:15:00,01:00 - 01:15,23:00 - 23:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,01:15 - 01:30,-59.057,-160.69,-160.69,2025-06-24 01:30:00,2025-06-23 23:30:00,01:15 - 01:30,23:15 - 23:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,01:30 - 01:45,-37.432,-122.412,-122.412,2025-06-24 01:45:00,2025-06-23 23:45:00,01:30 - 01:45,23:30 - 23:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,01:45 - 02:00,-39.298,-111.886,-111.886,2025-06-24 02:00:00,2025-06-24 00:00:00,01:45 - 02:00,23:45 - 24:00,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,02:00 - 02:15,-43.299,-104.526,-104.526,2025-06-24 02:15:00,2025-06-24 00:15:00,02:00 - 02:15,00:00 - 00:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,02:15 - 02:30,-13.05,-129.521,-129.521,2025-06-24 02:30:00,2025-06-24 00:30:00,02:15 - 02:30,00:15 - 00:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,02:30 - 02:45,-36.915,-106.947,-106.947,2025-06-24 02:45:00,2025-06-24 00:45:00,02:30 - 02:45,00:30 - 00:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,02:45 - 03:00,-46.976,-148.089,-148.089,2025-06-24 03:00:00,2025-06-24 01:00:00,02:45 - 03:00,00:45 - 01:00,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,03:00 - 03:15,-35.429,-138.189,-138.189,2025-06-24 03:15:00,2025-06-24 01:15:00,03:00 - 03:15,01:00 - 01:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,03:15 - 03:30,-9.456,-127.758,-127.758,2025-06-24 03:30:00,2025-06-24 01:30:00,03:15 - 03:30,01:15 - 01:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,03:30 - 03:45,-8.715,-109.256,-109.256,2025-06-24 03:45:00,2025-06-24 01:45:00,03:30 - 03:45,01:30 - 01:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,03:45 - 04:00,-10.34,-123.272,-123.272,2025-06-24 04:00:00,2025-06-24 02:00:00,03:45 - 04:00,01:45 - 02:00,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,04:00 - 04:15,-22.674,-167.075,-167.075,2025-06-24 04:15:00,2025-06-24 02:15:00,04:00 - 04:15,02:00 - 02:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,04:15 - 04:30,-27.692,-142.399,-142.399,2025-06-24 04:30:00,2025-06-24 02:30:00,04:15 - 04:30,02:15 - 02:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,04:30 - 04:45,-36.503,-152.553,-152.553,2025-06-24 04:45:00,2025-06-24 02:45:00,04:30 - 04:45,02:30 - 02:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,04:45 - 05:00,-42.41,-128.079,-128.079,2025-06-24 05:00:00,2025-06-24 03:00:00,04:45 - 05:00,02:45 - 03:00,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,05:00 - 05:15,-62.817,-181.33,-181.33,2025-06-24 05:15:00,2025-06-24 03:15:00,05:00 - 05:15,03:00 - 03:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,05:15 - 05:30,-90.942,-177.22,-177.22,2025-06-24 05:30:00,2025-06-24 03:30:00,05:15 - 05:30,03:15 - 03:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,05:30 - 05:45,-90.592,-153.042,-153.042,2025-06-24 05:45:00,2025-06-24 03:45:00,05:30 - 05:45,03:30 - 03:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,05:45 - 06:00,-92.423,-153.424,-153.424,2025-06-24 06:00:00,2025-06-24 04:00:00,05:45 - 06:00,03:45 - 04:00,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,06:00 - 06:15,-150.608,-155.113,-155.113,2025-06-24 06:15:00,2025-06-24 04:15:00,06:00 - 06:15,04:00 - 04:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,06:15 - 06:30,-216.362,-207.668,-207.668,2025-06-24 06:30:00,2025-06-24 04:30:00,06:15 - 06:30,04:15 - 04:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,06:30 - 06:45,-209.238,-216.883,-216.883,2025-06-24 06:45:00,2025-06-24 04:45:00,06:30 - 06:45,04:30 - 04:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,06:45 - 07:00,-185.786,-210.692,-210.692,2025-06-24 07:00:00,2025-06-24 05:00:00,06:45 - 07:00,04:45 - 05:00,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,07:00 - 07:15,-163.834,-225.311,-225.311,2025-06-24 07:15:00,2025-06-24 05:15:00,07:00 - 07:15,05:00 - 05:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,07:15 - 07:30,-104.834,-242.358,-242.358,2025-06-24 07:30:00,2025-06-24 05:30:00,07:15 - 07:30,05:15 - 05:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,07:30 - 07:45,-20.683,-159.54,-159.54,2025-06-24 07:45:00,2025-06-24 05:45:00,07:30 - 07:45,05:30 - 05:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,07:45 - 08:00,19.367,47.004,47.004,2025-06-24 08:00:00,2025-06-24 06:00:00,07:45 - 08:00,05:45 - 06:00,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,08:00 - 08:15,-57.961,-120.215,-49.165,2025-06-24 08:15:00,2025-06-24 06:15:00,08:00 - 08:15,06:00 - 06:15,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,08:15 - 08:30,-66.463,-28.856,-28.856,2025-06-24 08:30:00,2025-06-24 06:30:00,08:15 - 08:30,06:15 - 06:30,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
2025-06-24,08:30 - 08:45,-66.463,56.939,56.889,2025-06-24 08:45:00,2025-06-24 06:45:00,08:30 - 08:45,06:30 - 06:45,2025-06-24,2025-06-25 14:56:21.185,2025-06-25 12:56:21.185
