data,kwadrans,sk_d1_fcst,sk_d_fcst,sk_cost,dtime,dtime_utc,period,period_utc,business_date,publication_ts,publication_ts_utc
2024-08-01,00:00 - 00:15,-8.678,-18.748,-14.887,2024-08-01 00:15:00,2024-07-31 22:15:00,00:00 - 00:15,22:00 - 22:15,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,00:15 - 00:30,16.898,-2.505,-2.522,2024-08-01 00:30:00,2024-07-31 22:30:00,00:15 - 00:30,22:15 - 22:30,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,00:30 - 00:45,82.827,75.434,75.611,2024-08-01 00:45:00,2024-07-31 22:45:00,00:30 - 00:45,22:30 - 22:45,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,00:45 - 01:00,121.824,121.354,123.234,2024-08-01 01:00:00,2024-07-31 23:00:00,00:45 - 01:00,22:45 - 23:00,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,01:00 - 01:15,103.695,65.132,64.575,2024-08-01 01:15:00,2024-07-31 23:15:00,01:00 - 01:15,23:00 - 23:15,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,01:15 - 01:30,84.821,36.321,36.216,2024-08-01 01:30:00,2024-07-31 23:30:00,01:15 - 01:30,23:15 - 23:30,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,01:30 - 01:45,124.569,81.78,83.304,2024-08-01 01:45:00,2024-07-31 23:45:00,01:30 - 01:45,23:30 - 23:45,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,01:45 - 02:00,159.697,112.765,112.918,2024-08-01 02:00:00,2024-08-01 00:00:00,01:45 - 02:00,23:45 - 24:00,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,02:00 - 02:15,158.7,101.649,101.689,2024-08-01 02:15:00,2024-08-01 00:15:00,02:00 - 02:15,00:00 - 00:15,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,02:15 - 02:30,156.074,102.397,102.742,2024-08-01 02:30:00,2024-08-01 00:30:00,02:15 - 02:30,00:15 - 00:30,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,02:30 - 02:45,172.324,112.628,112.627,2024-08-01 02:45:00,2024-08-01 00:45:00,02:30 - 02:45,00:30 - 00:45,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,02:45 - 03:00,178.053,121.247,121.319,2024-08-01 03:00:00,2024-08-01 01:00:00,02:45 - 03:00,00:45 - 01:00,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,03:00 - 03:15,169.781,115.922,115.161,2024-08-01 03:15:00,2024-08-01 01:15:00,03:00 - 03:15,01:00 - 01:15,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,03:15 - 03:30,170.407,131.989,131.928,2024-08-01 03:30:00,2024-08-01 01:30:00,03:15 - 03:30,01:15 - 01:30,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,03:30 - 03:45,169.282,132.244,132.385,2024-08-01 03:45:00,2024-08-01 01:45:00,03:30 - 03:45,01:30 - 01:45,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,03:45 - 04:00,155.657,129.351,129.487,2024-08-01 04:00:00,2024-08-01 02:00:00,03:45 - 04:00,01:45 - 02:00,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,04:00 - 04:15,158.793,117.208,118.817,2024-08-01 04:15:00,2024-08-01 02:15:00,04:00 - 04:15,02:00 - 02:15,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,04:15 - 04:30,167.053,103.635,103.633,2024-08-01 04:30:00,2024-08-01 02:30:00,04:15 - 04:30,02:15 - 02:30,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,04:30 - 04:45,165.802,98.18,97.753,2024-08-01 04:45:00,2024-08-01 02:45:00,04:30 - 04:45,02:30 - 02:45,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,04:45 - 05:00,188.676,124.278,123.988,2024-08-01 05:00:00,2024-08-01 03:00:00,04:45 - 05:00,02:45 - 03:00,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,05:00 - 05:15,186.647,103.96,101.498,2024-08-01 05:15:00,2024-08-01 03:15:00,05:00 - 05:15,03:00 - 03:15,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,05:15 - 05:30,161.24,126.832,121.739,2024-08-01 05:30:00,2024-08-01 03:30:00,05:15 - 05:30,03:15 - 03:30,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,05:30 - 05:45,145.99,102.93,102.716,2024-08-01 05:45:00,2024-08-01 03:45:00,05:30 - 05:45,03:30 - 03:45,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,05:45 - 06:00,122.667,67.728,66.967,2024-08-01 06:00:00,2024-08-01 04:00:00,05:45 - 06:00,03:45 - 04:00,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,06:00 - 06:15,103.257,85.327,85.558,2024-08-01 06:15:00,2024-08-01 04:15:00,06:00 - 06:15,04:00 - 04:15,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
2024-08-01,06:15 - 06:30,65.308,71.341,71.206,2024-08-01 06:30:00,2024-08-01 04:30:00,06:15 - 06:30,04:15 - 04:30,2024-08-01,2025-04-16 11:21:14.482,2025-04-16 09:21:14.482
