period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-01 00:00:00,1482.0,2025-07-31,2025-07-31 22:00:00,2025-07-30 15:52:40.839,0.0,1623.0,0.0,15658.0,1390.0,2024-10-02 11:28:03.900000,0.0,14284.0,0.0,10394.0,10812.0,3455.0,8912.0,21207.0,6766.0,21207.0
00 - 01,2025-08-01 01:00:00,2112.0,2025-08-01,2025-07-31 23:00:00,2025-07-30 15:52:40.839,0.0,1809.0,0.0,14356.0,-20.0,2024-10-02 11:28:03.900000,0.0,2743.0,0.0,9298.0,10802.0,3575.0,7186.0,20100.0,6706.0,20100.0
01 - 02,2025-08-01 02:00:00,2016.0,2025-08-01,2025-08-01 00:00:00,2025-07-30 15:52:40.839,0.0,1877.0,0.0,13650.0,-46.0,2024-10-02 11:28:03.900000,0.0,2777.0,0.0,9955.0,10045.0,3651.0,7938.0,19999.0,6789.0,19999.0
02 - 03,2025-08-01 03:00:00,1965.0,2025-08-01,2025-08-01 01:00:00,2025-07-30 15:52:40.839,0.0,1902.0,0.0,13572.0,-32.0,2024-10-02 11:28:03.900000,0.0,2764.0,0.0,9995.0,10004.0,3599.0,8030.0,19999.0,6789.0,19999.0
03 - 04,2025-08-01 04:00:00,1957.0,2025-08-01,2025-08-01 02:00:00,2025-07-30 15:52:40.839,0.0,1864.0,0.0,13525.0,-30.0,2024-10-02 11:28:03.900000,0.0,2722.0,0.0,9995.0,10004.0,3551.0,8038.0,19999.0,6789.0,19999.0
04 - 05,2025-08-01 05:00:00,1965.0,2025-08-01,2025-08-01 03:00:00,2025-07-30 15:52:40.839,0.0,1799.0,0.0,13453.0,-34.0,2024-10-02 11:28:03.900000,0.0,2656.0,0.0,9995.0,10004.0,3483.0,8030.0,19999.0,6789.0,19999.0
05 - 06,2025-08-01 06:00:00,2033.0,2025-08-01,2025-08-01 04:00:00,2025-07-30 15:52:40.839,151.0,1691.0,0.0,13677.0,-52.0,2024-10-02 11:28:03.900000,0.0,2627.0,0.0,9710.0,10289.0,3440.0,7677.0,19999.0,6789.0,19999.0
06 - 07,2025-08-01 07:00:00,2334.0,2025-08-01,2025-08-01 05:00:00,2025-07-30 15:52:40.839,932.0,1435.0,923.0,15414.0,-29.0,2024-10-02 11:28:03.900000,0.0,2791.0,0.0,7462.0,11882.0,3561.0,5128.0,20267.0,6789.0,19344.0
07 - 08,2025-08-01 08:00:00,2558.0,2025-08-01,2025-08-01 06:00:00,2025-07-30 15:52:40.839,2541.0,1122.0,1055.0,16115.0,-29.0,2024-10-16 11:22:43.468000,0.0,3195.0,26244.0,6995.0,12202.0,3942.0,4436.0,20274.0,6789.0,19197.0
08 - 09,2025-08-01 09:00:00,2607.0,2025-08-01,2025-08-01 07:00:00,2025-07-30 15:52:40.839,4520.0,966.0,1055.0,15413.0,30.0,2024-10-16 11:22:43.468000,0.0,3846.0,26244.0,8184.0,10735.0,4647.0,5577.0,19999.0,6794.0,18919.0
