period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-11 00:00:00,1326.0,2025-08-10,2025-08-10 22:00:00,2025-08-10 20:13:30.951,0.0,3007.0,0.0,13856.0,1177.0,2024-10-01 03:51:19.304000,0.0,12679.0,0.0,6672.0,7894.0,4785.0,5346.0,18770.0,8605.0,14566.0
00 - 01,2025-08-11 01:00:00,1215.0,2025-08-11,2025-08-10 23:00:00,2025-08-10 20:13:30.951,0.0,2726.0,0.0,12973.0,770.0,2024-10-01 03:51:19.304000,0.0,12271.0,0.0,8220.0,7804.0,4400.0,7005.0,18864.0,8408.0,16023.0
01 - 02,2025-08-11 02:00:00,1159.0,2025-08-11,2025-08-11 00:00:00,2025-08-10 20:13:30.951,0.0,2388.0,0.0,12392.0,829.0,2024-10-01 03:51:19.304000,0.0,11639.0,0.0,10012.0,7600.0,3962.0,8853.0,18891.0,8382.0,17612.0
02 - 03,2025-08-11 03:00:00,1152.0,2025-08-11,2025-08-11 01:00:00,2025-08-10 20:13:30.951,0.0,2187.0,0.0,12047.0,955.0,2024-10-01 03:51:19.304000,0.0,11145.0,0.0,11182.0,7344.0,3748.0,10030.0,18895.0,8378.0,18527.0
03 - 04,2025-08-11 04:00:00,1152.0,2025-08-11,2025-08-11 02:00:00,2025-08-10 20:13:30.951,0.0,2064.0,0.0,12098.0,1059.0,2024-10-01 03:51:19.304000,0.0,11067.0,0.0,11511.0,7412.0,3627.0,10359.0,18900.0,8373.0,18923.0
04 - 05,2025-08-11 05:00:00,1152.0,2025-08-11,2025-08-11 03:00:00,2025-08-10 20:13:30.951,0.0,1929.0,0.0,12242.0,1042.0,2024-10-01 03:51:19.304000,0.0,11197.0,0.0,11440.0,7711.0,3489.0,10288.0,18905.0,8368.0,19151.0
05 - 06,2025-08-11 06:00:00,1212.0,2025-08-11,2025-08-11 04:00:00,2025-08-10 20:13:30.951,106.0,1791.0,0.0,12882.0,943.0,2024-10-01 03:51:19.304000,0.0,11909.0,0.0,10937.0,8530.0,3409.0,9725.0,18929.0,8367.0,19466.0
06 - 07,2025-08-11 07:00:00,1428.0,2025-08-11,2025-08-11 05:00:00,2025-08-10 20:13:30.951,999.0,1476.0,0.0,14779.0,986.0,2024-10-01 03:51:19.304000,0.0,13821.0,0.0,9529.0,10210.0,3584.0,8101.0,19675.0,7634.0,19738.0
07 - 08,2025-08-11 08:00:00,1575.0,2025-08-11,2025-08-11 06:00:00,2025-08-10 20:13:30.951,3346.0,959.0,0.0,15095.0,368.0,2024-10-16 11:22:43.468000,0.0,3413.0,26285.0,9205.0,10607.0,4120.0,7630.0,19749.0,7538.0,19812.0
08 - 09,2025-08-11 09:00:00,1642.0,2025-08-11,2025-08-11 07:00:00,2025-08-10 20:13:30.951,6648.0,634.0,38.0,13994.0,-578.0,2024-10-16 11:22:43.468000,0.0,4349.0,26285.0,10278.0,9378.0,5194.0,8636.0,19573.0,7556.0,19656.0
