period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-07-30 00:00:00,1491.0,2025-07-29,2025-07-29 22:00:00,2025-07-28 08:53:15.465,0.0,1911.0,0.0,16132.0,110.0,2024-10-01 03:51:19.304000,0.0,3000.0,0.0,8191.0,12321.0,3701.0,6700.0,20512.0,7536.0,20512.0
00 - 01,2025-07-30 01:00:00,2184.0,2025-07-30,2025-07-29 23:00:00,2025-07-28 08:53:15.465,0.0,1980.0,0.0,15083.0,30.0,2024-10-01 03:51:19.304000,0.0,2986.0,0.0,10198.0,11414.0,3639.0,8013.0,21611.0,6245.0,21611.0
01 - 02,2025-07-30 02:00:00,2105.0,2025-07-30,2025-07-30 00:00:00,2025-07-28 08:33:30.675,0.0,1976.0,0.0,14515.0,30.0,2024-10-01 03:51:19.304000,0.0,2947.0,0.0,10940.0,10868.0,3617.0,8835.0,21808.0,6061.0,21808.0
02 - 03,2025-07-30 03:00:00,2038.0,2025-07-30,2025-07-30 01:00:00,2025-07-28 08:33:30.675,0.0,1953.0,0.0,14456.0,30.0,2024-10-01 03:51:19.304000,0.0,2921.0,0.0,10971.0,10837.0,3589.0,8932.0,21808.0,6061.0,21808.0
03 - 04,2025-07-30 04:00:00,2026.0,2025-07-30,2025-07-30 02:00:00,2025-07-28 08:33:30.675,0.0,1890.0,0.0,14392.0,30.0,2024-10-01 03:51:19.304000,0.0,2857.0,0.0,10971.0,10837.0,3525.0,8945.0,21808.0,6061.0,21808.0
04 - 05,2025-07-30 05:00:00,2021.0,2025-07-30,2025-07-30 03:00:00,2025-07-28 08:33:30.675,1.0,1786.0,0.0,14287.0,30.0,2024-10-01 03:51:19.304000,0.0,2753.0,0.0,10971.0,10837.0,3420.0,8950.0,21808.0,6061.0,21808.0
05 - 06,2025-07-30 06:00:00,2061.0,2025-07-30,2025-07-30 04:00:00,2025-07-28 08:33:30.675,193.0,1589.0,0.0,14182.0,30.0,2024-10-01 03:51:19.304000,0.0,2643.0,0.0,10971.0,10837.0,3315.0,8910.0,21808.0,6061.0,21808.0
06 - 07,2025-07-30 07:00:00,2378.0,2025-07-30,2025-07-30 05:00:00,2025-07-28 08:33:30.675,1173.0,1270.0,923.0,15811.0,30.0,2024-10-01 03:51:19.304000,0.0,2833.0,0.0,8543.0,12341.0,3440.0,6165.0,21808.0,6054.0,20884.0
07 - 08,2025-07-30 08:00:00,2634.0,2025-07-30,2025-07-30 06:00:00,2025-07-28 08:33:30.675,3116.0,975.0,2515.0,16550.0,30.0,2024-10-16 11:22:43.468000,0.0,3348.0,26244.0,7723.0,12535.0,3985.0,5089.0,22773.0,6053.0,20258.0
08 - 09,2025-07-30 09:00:00,2740.0,2025-07-30,2025-07-30 07:00:00,2025-07-28 08:33:30.675,5484.0,846.0,2724.0,15981.0,30.0,2024-10-16 11:22:43.468000,0.0,4216.0,26244.0,8067.0,11091.0,4860.0,5327.0,21882.0,6074.0,19158.0
