period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-01 00:00:00,2306.0,2025-07-31,2025-07-31 22:00:00,2025-07-29 20:02:36.487,0.0,1967.0,0.0,15819.0,60.0,2024-10-02 11:28:03.900000,450.0,2976.0,0.0,8442.0,11955.0,3804.0,6136.0,20398.0,7248.0,20398.0
00 - 01,2025-08-01 01:00:00,2112.0,2025-08-01,2025-07-31 23:00:00,2025-07-29 20:02:36.487,0.0,2147.0,0.0,14414.0,30.0,2024-10-02 11:28:03.900000,450.0,3045.0,0.0,10563.0,10519.0,3865.0,8451.0,21083.0,6563.0,21083.0
01 - 02,2025-08-01 02:00:00,2021.0,2025-08-01,2025-08-01 00:00:00,2025-07-29 20:02:36.487,0.0,2264.0,0.0,13759.0,30.0,2024-10-02 11:28:03.900000,450.0,3117.0,0.0,11369.0,9769.0,3960.0,9348.0,21137.0,6484.0,21137.0
02 - 03,2025-08-01 03:00:00,1971.0,2025-08-01,2025-08-01 01:00:00,2025-07-29 20:02:36.487,0.0,2295.0,0.0,13690.0,30.0,2024-10-02 11:28:03.900000,450.0,3134.0,0.0,11447.0,9690.0,3970.0,9477.0,21137.0,6484.0,21137.0
03 - 04,2025-08-01 04:00:00,1963.0,2025-08-01,2025-08-01 02:00:00,2025-07-29 20:02:36.487,0.0,2254.0,0.0,13646.0,30.0,2024-10-02 11:28:03.900000,450.0,3092.0,0.0,11447.0,9690.0,3926.0,9485.0,21137.0,6484.0,21137.0
04 - 05,2025-08-01 05:00:00,1963.0,2025-08-01,2025-08-01 03:00:00,2025-07-29 20:02:36.487,0.0,2181.0,0.0,13572.0,30.0,2024-10-02 11:28:03.900000,450.0,3018.0,0.0,11447.0,9690.0,3852.0,9485.0,21137.0,6484.0,21137.0
05 - 06,2025-08-01 06:00:00,1994.0,2025-08-01,2025-08-01 04:00:00,2025-07-29 20:02:36.487,131.0,2048.0,0.0,13496.0,30.0,2024-10-02 11:28:03.900000,450.0,2942.0,0.0,11447.0,9690.0,3776.0,9453.0,21137.0,6484.0,21137.0
06 - 07,2025-08-01 07:00:00,2292.0,2025-08-01,2025-08-01 05:00:00,2025-07-29 20:02:36.487,848.0,1768.0,923.0,15219.0,30.0,2024-10-02 11:28:03.900000,450.0,3063.0,0.0,8852.0,11362.0,3827.0,6560.0,21137.0,6484.0,20214.0
07 - 08,2025-08-01 08:00:00,2551.0,2025-08-01,2025-08-01 06:00:00,2025-07-29 20:02:36.487,2352.0,1468.0,1055.0,16229.0,30.0,2024-10-16 11:22:43.468000,450.0,3437.0,26244.0,8331.0,12025.0,4174.0,5781.0,21412.0,6484.0,20357.0
08 - 09,2025-08-01 09:00:00,2646.0,2025-08-01,2025-08-01 07:00:00,2025-07-29 20:02:36.487,4241.0,1323.0,1055.0,15852.0,30.0,2024-10-16 11:22:43.468000,450.0,4067.0,26244.0,9078.0,11004.0,4818.0,6432.0,21137.0,6490.0,20082.0
09 - 10,2025-08-01 10:00:00,2667.0,2025-08-01,2025-08-01 08:00:00,2025-07-29 20:02:36.487,5927.0,1407.0,1055.0,15063.0,30.0,2024-10-16 11:22:43.468000,450.0,4810.0,26244.0,10676.0,9406.0,5627.0,8009.0,21137.0,6460.0,20082.0
10 - 11,2025-08-01 11:00:00,2651.0,2025-08-01,2025-08-01 09:00:00,2025-07-29 20:02:36.487,7112.0,1600.0,1055.0,15004.0,30.0,2024-10-16 11:22:43.468000,450.0,5485.0,26244.0,11447.0,8635.0,6339.0,8796.0,21137.0,6441.0,20082.0
11 - 12,2025-08-01 12:00:00,2700.0,2025-08-01,2025-08-01 10:00:00,2025-07-29 20:02:36.487,7741.0,1768.0,1055.0,15437.0,30.0,2024-10-16 11:22:43.468000,450.0,5928.0,26244.0,11447.0,8635.0,6772.0,8748.0,21137.0,6441.0,20082.0
12 - 13,2025-08-01 13:00:00,2712.0,2025-08-01,2025-08-01 11:00:00,2025-07-29 20:02:36.487,7968.0,1840.0,1055.0,15441.0,30.0,2024-10-16 11:22:43.468000,450.0,6091.0,26244.0,11617.0,8465.0,6945.0,8905.0,21137.0,6441.0,20082.0
13 - 14,2025-08-01 14:00:00,2701.0,2025-08-01,2025-08-01 12:00:00,2025-07-29 20:02:36.487,7985.0,1849.0,1055.0,15368.0,30.0,2024-10-16 11:22:43.468000,450.0,6105.0,26244.0,11710.0,8372.0,6966.0,9009.0,21137.0,6441.0,20082.0
14 - 15,2025-08-01 15:00:00,2679.0,2025-08-01,2025-08-01 13:00:00,2025-07-29 20:02:36.487,7736.0,1791.0,1055.0,15332.0,30.0,2024-10-16 11:22:43.468000,450.0,5937.0,26244.0,11563.0,8519.0,6783.0,8885.0,21137.0,6441.0,20082.0
15 - 16,2025-08-01 16:00:00,2698.0,2025-08-01,2025-08-01 14:00:00,2025-07-29 20:02:36.487,7079.0,1609.0,1055.0,14989.0,30.0,2024-10-16 11:22:43.468000,450.0,5475.0,26244.0,11447.0,8635.0,6324.0,8750.0,21137.0,6440.0,20082.0
16 - 17,2025-08-01 17:00:00,2715.0,2025-08-01,2025-08-01 15:00:00,2025-07-29 20:02:36.487,6046.0,1399.0,1055.0,15340.0,30.0,2024-10-16 11:22:43.468000,450.0,4862.0,26244.0,10442.0,9640.0,5669.0,7727.0,21137.0,6439.0,20082.0
17 - 18,2025-08-01 18:00:00,2750.0,2025-08-01,2025-08-01 16:00:00,2025-07-29 20:02:36.487,4668.0,1160.0,1055.0,16356.0,30.0,2024-10-16 11:22:43.468000,450.0,4127.0,26244.0,8672.0,11445.0,4881.0,5922.0,21172.0,6415.0,20117.0
18 - 19,2025-08-01 19:00:00,2791.0,2025-08-01,2025-08-01 17:00:00,2025-07-29 20:02:36.487,2984.0,934.0,1055.0,17585.0,30.0,2024-10-16 11:22:43.468000,450.0,3267.0,26244.0,7762.0,13472.0,4083.0,4972.0,22289.0,6408.0,21234.0
19 - 20,2025-08-01 20:00:00,2792.0,2025-08-01,2025-08-01 18:00:00,2025-07-29 20:02:36.487,1304.0,841.0,1055.0,18537.0,30.0,2024-10-16 11:22:43.468000,450.0,2541.0,26244.0,6340.0,15128.0,3380.0,3547.0,22522.0,6408.0,21467.0
