period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-07-29 00:00:00,1509.0,2025-07-28,2025-07-28 22:00:00,2025-07-28 13:04:05.957,0.0,5937.0,0.0,16164.0,-413.0,2024-10-01 03:51:19.304000,0.0,16562.0,0.0,10967.0,8845.0,7732.0,9458.0,20158.0,7679.0,19812.0
00 - 01,2025-07-29 01:00:00,1410.0,2025-07-29,2025-07-28 23:00:00,2025-07-28 13:04:05.957,0.0,6087.0,2.0,15060.0,-547.0,2024-10-01 03:51:19.304000,0.0,6921.0,0.0,12059.0,7804.0,7803.0,10649.0,19961.0,7873.0,19862.0
01 - 02,2025-07-29 02:00:00,1348.0,2025-07-29,2025-07-29 00:00:00,2025-07-28 13:04:05.957,0.0,6160.0,0.0,14358.0,-1033.0,2024-10-01 03:51:19.304000,0.0,6976.0,0.0,12358.0,7523.0,7868.0,11010.0,19978.0,7883.0,19881.0
02 - 03,2025-07-29 03:00:00,1305.0,2025-07-29,2025-07-29 01:00:00,2025-07-28 13:04:05.957,0.0,6179.0,0.0,14035.0,-1309.0,2024-10-01 03:51:19.304000,0.0,6964.0,0.0,12358.0,7526.0,7819.0,11053.0,19981.0,7880.0,19883.0
03 - 04,2025-07-29 04:00:00,1297.0,2025-07-29,2025-07-29 02:00:00,2025-07-28 13:04:05.957,0.0,6167.0,0.0,14390.0,-967.0,2024-10-01 03:51:19.304000,0.0,6961.0,0.0,12358.0,7530.0,7826.0,11061.0,19985.0,7876.0,19888.0
04 - 05,2025-07-29 05:00:00,1297.0,2025-07-29,2025-07-29 03:00:00,2025-07-28 13:04:05.957,0.0,6093.0,0.0,14297.0,-989.0,2024-10-01 03:51:19.304000,0.0,6888.0,0.0,12358.0,7531.0,7756.0,11061.0,19986.0,7875.0,19888.0
05 - 06,2025-07-29 06:00:00,1323.0,2025-07-29,2025-07-29 04:00:00,2025-07-28 13:04:05.957,153.0,5964.0,12.0,14233.0,-1082.0,2024-10-01 03:51:19.304000,0.0,6833.0,0.0,12358.0,7616.0,7699.0,11035.0,19986.0,7875.0,19973.0
06 - 07,2025-07-29 07:00:00,1526.0,2025-07-29,2025-07-29 05:00:00,2025-07-28 13:04:05.957,874.0,5729.0,923.0,15760.0,-993.0,2024-10-01 03:51:19.304000,0.0,6983.0,0.0,10102.0,8960.0,7792.0,8576.0,19986.0,7875.0,19062.0
07 - 08,2025-07-29 08:00:00,1675.0,2025-07-29,2025-07-29 06:00:00,2025-07-28 13:04:05.957,2311.0,5541.0,1657.0,16625.0,-1329.0,2024-10-16 11:22:43.468000,0.0,7408.0,26244.0,9549.0,9764.0,8189.0,7874.0,20952.0,7875.0,19313.0
08 - 09,2025-07-29 09:00:00,1716.0,2025-07-29,2025-07-29 07:00:00,2025-07-28 13:04:05.957,4150.0,5674.0,1715.0,16221.0,-1508.0,2024-10-16 11:22:43.468000,0.0,8327.0,26244.0,9868.0,8608.0,9121.0,8152.0,20201.0,7912.0,18476.0
