period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-16 00:00:00,1805.0,2025-08-15,2025-08-15 22:00:00,2025-08-14 01:03:35.721,0.0,2979.0,0.0,14048.0,35.0,2024-10-01 03:51:19.304000,0.0,3776.0,0.0,11639.0,9367.0,4647.0,9834.0,21005.0,6870.0,21005.0
00 - 01,2025-08-16 01:00:00,1917.0,2025-08-16,2025-08-15 23:00:00,2025-08-14 01:03:35.721,0.0,3083.0,0.0,13038.0,30.0,2024-10-01 03:51:19.304000,0.0,3844.0,0.0,12559.0,8294.0,4714.0,10642.0,20853.0,6739.0,20853.0
01 - 02,2025-08-16 02:00:00,1844.0,2025-08-16,2025-08-16 00:00:00,2025-08-14 01:03:35.721,0.0,3069.0,0.0,12518.0,30.0,2024-10-01 03:51:19.304000,0.0,3784.0,0.0,13026.0,7844.0,4643.0,11182.0,20870.0,6721.0,20870.0
02 - 03,2025-08-16 03:00:00,1792.0,2025-08-16,2025-08-16 01:00:00,2025-08-14 01:03:35.721,0.0,2966.0,0.0,12246.0,30.0,2024-10-01 03:51:19.304000,0.0,3670.0,0.0,13187.0,7683.0,4533.0,11395.0,20870.0,6721.0,20870.0
03 - 04,2025-08-16 04:00:00,1781.0,2025-08-16,2025-08-16 02:00:00,2025-08-14 01:03:35.721,0.0,2788.0,0.0,12069.0,30.0,2024-10-01 03:51:19.304000,0.0,3493.0,0.0,13187.0,7683.0,4356.0,11406.0,20870.0,6721.0,20870.0
04 - 05,2025-08-16 05:00:00,1778.0,2025-08-16,2025-08-16 03:00:00,2025-08-14 01:03:35.721,0.0,2604.0,0.0,12050.0,30.0,2024-10-01 03:51:19.304000,0.0,3317.0,0.0,13022.0,7848.0,4172.0,11244.0,20870.0,6721.0,20870.0
05 - 06,2025-08-16 06:00:00,1772.0,2025-08-16,2025-08-16 04:00:00,2025-08-14 01:03:35.721,32.0,2411.0,0.0,11988.0,30.0,2024-10-01 03:51:19.304000,0.0,3144.0,0.0,12905.0,7965.0,3993.0,11133.0,20870.0,6721.0,20870.0
06 - 07,2025-08-16 07:00:00,1942.0,2025-08-16,2025-08-16 05:00:00,2025-08-14 01:03:35.721,680.0,2168.0,923.0,12838.0,30.0,2024-10-01 03:51:19.304000,0.0,3215.0,0.0,11459.0,8762.0,4046.0,9518.0,21144.0,6721.0,20221.0
07 - 08,2025-08-16 08:00:00,2127.0,2025-08-16,2025-08-16 06:00:00,2025-08-14 01:03:35.721,2536.0,1937.0,1055.0,13124.0,30.0,2024-10-01 03:51:19.304000,0.0,3802.0,0.0,11396.0,8449.0,4645.0,9269.0,20900.0,6721.0,19845.0
08 - 09,2025-08-16 09:00:00,2310.0,2025-08-16,2025-08-16 07:00:00,2025-08-14 01:03:35.721,4960.0,1867.0,1055.0,13074.0,30.0,2024-10-01 03:51:19.304000,0.0,4754.0,0.0,12419.0,7396.0,5648.0,10109.0,20870.0,6722.0,19815.0
