period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-07-30 00:00:00,1491.0,2025-07-29,2025-07-29 22:00:00,2025-07-28 23:32:55.774,0.0,1810.0,408.0,16126.0,2232.0,2024-10-01 03:51:19.304000,0.0,13854.0,0.0,9318.0,10186.0,3708.0,7827.0,19912.0,8138.0,19504.0
00 - 01,2025-07-30 01:00:00,2195.0,2025-07-30,2025-07-29 23:00:00,2025-07-28 23:13:10.900,0.0,2007.0,0.0,15076.0,-50.0,2024-10-01 03:51:19.304000,0.0,3041.0,0.0,9170.0,11355.0,3771.0,6975.0,20525.0,7279.0,20525.0
01 - 02,2025-07-30 02:00:00,2115.0,2025-07-30,2025-07-30 00:00:00,2025-07-28 23:13:10.900,0.0,2077.0,0.0,14508.0,-46.0,2024-10-01 03:51:19.304000,0.0,3072.0,0.0,9870.0,10732.0,3822.0,7755.0,20602.0,7199.0,20602.0
02 - 03,2025-07-30 03:00:00,2049.0,2025-07-30,2025-07-30 01:00:00,2025-07-28 23:13:10.900,0.0,2079.0,0.0,14340.0,-46.0,2024-10-01 03:51:19.304000,0.0,3064.0,0.0,10038.0,10564.0,3822.0,7989.0,20602.0,7199.0,20602.0
03 - 04,2025-07-30 04:00:00,2031.0,2025-07-30,2025-07-30 02:00:00,2025-07-28 23:13:10.900,0.0,2014.0,0.0,14313.0,-5.0,2024-10-01 03:51:19.304000,0.0,2997.0,0.0,10038.0,10564.0,3755.0,8007.0,20602.0,7199.0,20602.0
04 - 05,2025-07-30 05:00:00,2026.0,2025-07-30,2025-07-30 03:00:00,2025-07-28 23:13:10.900,0.0,1893.0,0.0,14188.0,-10.0,2024-10-01 03:51:19.304000,0.0,2876.0,0.0,10038.0,10564.0,3634.0,8012.0,20602.0,7199.0,20602.0
05 - 06,2025-07-30 06:00:00,2076.0,2025-07-30,2025-07-30 04:00:00,2025-07-28 23:13:10.900,228.0,1739.0,0.0,14066.0,-82.0,2024-10-01 03:51:19.304000,0.0,2824.0,0.0,10038.0,10564.0,3584.0,7961.0,20602.0,7199.0,20602.0
06 - 07,2025-07-30 07:00:00,2394.0,2025-07-30,2025-07-30 05:00:00,2025-07-28 23:13:10.900,1300.0,1504.0,923.0,15733.0,-82.0,2024-10-01 03:51:19.304000,0.0,3119.0,0.0,7662.0,12016.0,3799.0,5268.0,20602.0,7192.0,19678.0
07 - 08,2025-07-30 08:00:00,2650.0,2025-07-30,2025-07-30 06:00:00,2025-07-28 23:13:10.900,3330.0,1053.0,1657.0,16423.0,-82.0,2024-10-16 11:22:43.468000,0.0,3549.0,26244.0,6904.0,12315.0,4190.0,4254.0,20876.0,7191.0,19219.0
08 - 09,2025-07-30 09:00:00,2753.0,2025-07-30,2025-07-30 07:00:00,2025-07-28 23:13:10.900,5783.0,792.0,1743.0,15807.0,-64.0,2024-10-16 11:22:43.468000,0.0,4308.0,26244.0,7988.0,10870.0,5001.0,5235.0,20602.0,7212.0,18859.0
09 - 10,2025-07-30 10:00:00,2761.0,2025-07-30,2025-07-30 08:00:00,2025-07-28 23:13:10.900,7770.0,923.0,1699.0,14768.0,-50.0,2024-10-16 11:22:43.468000,0.0,5205.0,26244.0,10030.0,8829.0,5989.0,7269.0,20602.0,7215.0,18859.0
10 - 11,2025-07-30 11:00:00,2718.0,2025-07-30,2025-07-30 09:00:00,2025-07-28 23:13:10.900,8877.0,1180.0,1699.0,15044.0,-50.0,2024-10-16 11:22:43.468000,0.0,5923.0,26244.0,10485.0,8374.0,6720.0,7767.0,20602.0,7219.0,18859.0
11 - 12,2025-07-30 12:00:00,2750.0,2025-07-30,2025-07-30 10:00:00,2025-07-28 23:13:10.900,9275.0,1347.0,1699.0,15065.0,-35.0,2024-10-16 11:22:43.468000,0.0,6240.0,26244.0,10795.0,8064.0,7036.0,8045.0,20602.0,7220.0,18859.0
12 - 13,2025-07-30 13:00:00,2760.0,2025-07-30,2025-07-30 11:00:00,2025-07-28 23:13:10.900,9343.0,1390.0,1699.0,15148.0,-35.0,2024-10-16 11:22:43.468000,0.0,6314.0,26244.0,10790.0,8069.0,7115.0,8030.0,20602.0,7220.0,18859.0
