period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-03 00:00:00,2034.0,2025-08-02,2025-08-02 22:00:00,2025-07-31 00:32:50.579,0.0,710.0,0.0,13855.0,30.0,2024-10-02 11:28:03.900000,0.0,1668.0,0.0,9359.0,11325.0,2500.0,7326.0,20685.0,7268.0,20685.0
00 - 01,2025-08-03 01:00:00,1886.0,2025-08-03,2025-08-02 23:00:00,2025-07-31 00:32:50.579,0.0,784.0,0.0,12833.0,30.0,2024-10-02 11:28:03.900000,0.0,1665.0,0.0,10634.0,10337.0,2466.0,8749.0,20971.0,7054.0,20971.0
01 - 02,2025-08-03 02:00:00,1791.0,2025-08-03,2025-08-03 00:00:00,2025-07-31 00:32:50.579,0.0,853.0,0.0,12162.0,30.0,2024-10-02 11:28:03.900000,0.0,1711.0,0.0,11065.0,9611.0,2521.0,9274.0,20676.0,7024.0,20676.0
02 - 03,2025-08-03 03:00:00,1735.0,2025-08-03,2025-08-03 01:00:00,2025-07-31 00:32:50.579,0.0,940.0,0.0,11762.0,30.0,2024-10-02 11:28:03.900000,0.0,1765.0,0.0,11496.0,9150.0,2582.0,9761.0,20646.0,7064.0,20646.0
03 - 04,2025-08-03 04:00:00,1695.0,2025-08-03,2025-08-03 02:00:00,2025-07-31 00:32:50.579,0.0,989.0,0.0,11476.0,30.0,2024-10-02 11:28:03.900000,0.0,1794.0,0.0,11824.0,8822.0,2624.0,10129.0,20646.0,7070.0,20646.0
04 - 05,2025-08-03 05:00:00,1649.0,2025-08-03,2025-08-03 03:00:00,2025-07-31 00:32:50.579,0.0,1017.0,0.0,11143.0,30.0,2024-10-02 11:28:03.900000,0.0,1802.0,0.0,12181.0,8466.0,2647.0,10532.0,20646.0,7070.0,20646.0
05 - 06,2025-08-03 06:00:00,1628.0,2025-08-03,2025-08-03 04:00:00,2025-07-31 00:32:50.579,133.0,980.0,0.0,10918.0,30.0,2024-10-02 11:28:03.900000,0.0,1811.0,0.0,12426.0,8220.0,2668.0,10798.0,20646.0,7070.0,20646.0
06 - 07,2025-08-03 07:00:00,1686.0,2025-08-03,2025-08-03 05:00:00,2025-07-31 00:32:50.579,735.0,856.0,923.0,11000.0,30.0,2024-10-02 11:28:03.900000,0.0,1952.0,0.0,11583.0,8140.0,2830.0,9897.0,20646.0,7070.0,19723.0
07 - 08,2025-08-03 08:00:00,1786.0,2025-08-03,2025-08-03 06:00:00,2025-07-31 00:32:50.579,1888.0,740.0,1055.0,11068.0,30.0,2024-10-02 11:28:03.900000,0.0,2322.0,0.0,11765.0,7826.0,3212.0,9979.0,20646.0,7070.0,19591.0
08 - 09,2025-08-03 09:00:00,1898.0,2025-08-03,2025-08-03 07:00:00,2025-07-31 00:32:50.579,3466.0,708.0,1055.0,11014.0,30.0,2024-10-02 11:28:03.900000,0.0,2927.0,0.0,12426.0,7165.0,3819.0,10528.0,20646.0,7074.0,19591.0
