period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-19 00:00:00,2264.0,2025-08-18,2025-08-18 22:00:00,2025-08-16 02:13:15.788,0.0,427.0,248.0,15551.0,30.0,2024-10-01 03:51:19.304000,210.0,1473.0,0.0,7649.0,13417.0,2103.0,5385.0,21328.0,6650.0,21067.0
00 - 01,2025-08-19 01:00:00,2096.0,2025-08-19,2025-08-18 23:00:00,2025-08-16 02:13:15.788,0.0,388.0,261.0,14322.0,30.0,2024-10-01 03:51:19.304000,210.0,1350.0,0.0,8901.0,12295.0,1996.0,6805.0,21458.0,6172.0,21197.0
01 - 02,2025-08-19 02:00:00,1985.0,2025-08-19,2025-08-19 00:00:00,2025-08-16 02:03:25.627,0.0,386.0,261.0,13523.0,30.0,2024-10-01 03:51:19.304000,210.0,1290.0,0.0,9715.0,11539.0,1954.0,7731.0,21515.0,6110.0,21254.0
02 - 03,2025-08-19 03:00:00,1936.0,2025-08-19,2025-08-19 01:00:00,2025-08-16 02:03:25.627,0.0,412.0,261.0,13174.0,30.0,2024-10-01 03:51:19.304000,210.0,1296.0,0.0,10087.0,11167.0,1977.0,8152.0,21515.0,6110.0,21254.0
03 - 04,2025-08-19 04:00:00,1928.0,2025-08-19,2025-08-19 02:00:00,2025-08-16 02:03:25.627,0.0,438.0,261.0,13164.0,30.0,2024-10-01 03:51:19.304000,210.0,1320.0,0.0,10122.0,11132.0,2002.0,8194.0,21515.0,6110.0,21254.0
04 - 05,2025-08-19 05:00:00,1938.0,2025-08-19,2025-08-19 03:00:00,2025-08-16 02:03:25.627,0.0,468.0,261.0,13193.0,30.0,2024-10-01 03:51:19.304000,210.0,1349.0,0.0,10122.0,11132.0,2031.0,8184.0,21515.0,6110.0,21254.0
05 - 06,2025-08-19 06:00:00,2005.0,2025-08-19,2025-08-19 04:00:00,2025-08-16 02:22:45.868,21.0,479.0,261.0,13656.0,30.0,2024-10-01 03:51:19.304000,210.0,1392.0,0.0,9682.0,11572.0,2054.0,7677.0,21515.0,6110.0,21254.0
06 - 07,2025-08-19 07:00:00,2295.0,2025-08-19,2025-08-19 05:00:00,2025-08-16 02:22:45.868,675.0,435.0,1184.0,15365.0,30.0,2024-10-01 03:51:19.304000,210.0,1698.0,0.0,7579.0,13026.0,2308.0,5284.0,21790.0,6110.0,20605.0
07 - 08,2025-08-19 08:00:00,2523.0,2025-08-19,2025-08-19 06:00:00,2025-08-16 02:22:45.868,2623.0,375.0,1684.0,15899.0,30.0,2024-10-16 11:22:43.468000,210.0,2474.0,26295.0,7305.0,12779.0,3090.0,4782.0,21809.0,6144.0,20084.0
08 - 09,2025-08-19 09:00:00,2578.0,2025-08-19,2025-08-19 07:00:00,2025-08-16 02:22:45.868,5457.0,286.0,1742.0,14708.0,30.0,2024-10-16 11:22:43.468000,210.0,3526.0,26295.0,9290.0,10442.0,4236.0,6712.0,21515.0,6146.0,19732.0
