period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-13 00:00:00,1456.0,2025-08-12,2025-08-12 22:00:00,2025-08-11 18:03:25.840,0.0,1053.0,0.0,15609.0,2245.0,2024-10-01 03:51:19.304000,0.0,13589.0,0.0,9701.0,10450.0,2914.0,8245.0,20065.0,7804.0,20151.0
00 - 01,2025-08-13 01:00:00,2082.0,2025-08-13,2025-08-12 23:00:00,2025-08-11 18:03:25.840,0.0,1166.0,99.0,14353.0,30.0,2024-10-01 03:51:19.304000,0.0,2170.0,0.0,8737.0,11499.0,2823.0,6655.0,20333.0,7314.0,20237.0
01 - 02,2025-08-13 02:00:00,1984.0,2025-08-13,2025-08-13 00:00:00,2025-08-11 18:03:25.840,0.0,1267.0,99.0,13652.0,30.0,2024-10-01 03:51:19.304000,0.0,2220.0,0.0,9307.0,10726.0,2895.0,7323.0,20132.0,7492.0,20033.0
02 - 03,2025-08-13 03:00:00,1929.0,2025-08-13,2025-08-13 01:00:00,2025-08-11 18:03:25.840,0.0,1332.0,99.0,13258.0,30.0,2024-10-01 03:51:19.304000,0.0,2262.0,0.0,9766.0,10267.0,2961.0,7838.0,20132.0,7492.0,20033.0
03 - 04,2025-08-13 04:00:00,1911.0,2025-08-13,2025-08-13 02:00:00,2025-08-11 18:03:25.840,0.0,1366.0,99.0,13158.0,30.0,2024-10-01 03:51:19.304000,0.0,2290.0,0.0,9900.0,10133.0,2995.0,7989.0,20132.0,7492.0,20033.0
04 - 05,2025-08-13 05:00:00,1922.0,2025-08-13,2025-08-13 03:00:00,2025-08-11 18:03:25.840,0.0,1416.0,99.0,13208.0,30.0,2024-10-01 03:51:19.304000,0.0,2340.0,0.0,9900.0,10133.0,3045.0,7979.0,20132.0,7492.0,20033.0
05 - 06,2025-08-13 06:00:00,1982.0,2025-08-13,2025-08-13 04:00:00,2025-08-11 18:03:25.840,49.0,1449.0,99.0,13612.0,30.0,2024-10-01 03:51:19.304000,0.0,2413.0,0.0,9553.0,10480.0,3102.0,7571.0,20132.0,7492.0,20033.0
06 - 07,2025-08-13 07:00:00,2269.0,2025-08-13,2025-08-13 05:00:00,2025-08-11 18:03:25.840,741.0,1424.0,1022.0,15274.0,30.0,2024-10-01 03:51:19.304000,0.0,2724.0,0.0,7816.0,11876.0,3368.0,5547.0,20714.0,7492.0,19692.0
07 - 08,2025-08-13 08:00:00,2486.0,2025-08-13,2025-08-13 06:00:00,2025-08-11 18:03:25.840,2734.0,1252.0,1154.0,15706.0,30.0,2024-10-16 11:22:43.468000,0.0,3415.0,26285.0,7777.0,11618.0,4058.0,5291.0,20549.0,7492.0,19395.0
08 - 09,2025-08-13 09:00:00,2574.0,2025-08-13,2025-08-13 07:00:00,2025-08-11 18:03:25.840,5540.0,771.0,1154.0,14758.0,30.0,2024-10-16 11:22:43.468000,0.0,4103.0,26285.0,9059.0,9919.0,4809.0,6485.0,20132.0,7495.0,18978.0
