period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-19 00:00:00,1656.0,2025-08-18,2025-08-18 22:00:00,2025-08-17 05:13:35.905,0.0,389.0,248.0,15494.0,30.0,2024-10-01 03:51:19.304000,210.0,1411.0,0.0,8126.0,13372.0,2092.0,6470.0,21759.0,7052.0,21498.0
00 - 01,2025-08-19 01:00:00,2096.0,2025-08-19,2025-08-18 23:00:00,2025-08-17 05:13:35.905,0.0,341.0,261.0,14264.0,30.0,2024-10-01 03:51:19.304000,210.0,1277.0,0.0,8814.0,12264.0,1970.0,6718.0,21339.0,6290.0,21078.0
01 - 02,2025-08-19 02:00:00,1985.0,2025-08-19,2025-08-19 00:00:00,2025-08-17 05:13:35.905,0.0,324.0,261.0,13466.0,30.0,2024-10-01 03:51:19.304000,210.0,1203.0,0.0,9634.0,11523.0,1913.0,7650.0,21418.0,6207.0,21157.0
02 - 03,2025-08-19 03:00:00,1936.0,2025-08-19,2025-08-19 01:00:00,2025-08-17 05:13:35.905,0.0,338.0,261.0,13117.0,30.0,2024-10-01 03:51:19.304000,210.0,1197.0,0.0,9993.0,11164.0,1923.0,8058.0,21418.0,6207.0,21157.0
03 - 04,2025-08-19 04:00:00,1928.0,2025-08-19,2025-08-19 02:00:00,2025-08-17 05:13:35.905,0.0,368.0,261.0,13085.0,30.0,2024-10-01 03:51:19.304000,210.0,1225.0,0.0,10055.0,11102.0,1954.0,8128.0,21418.0,6207.0,21157.0
04 - 05,2025-08-19 05:00:00,1938.0,2025-08-19,2025-08-19 03:00:00,2025-08-17 05:13:35.905,0.0,420.0,261.0,13136.0,30.0,2024-10-01 03:51:19.304000,210.0,1276.0,0.0,10055.0,11102.0,2005.0,8117.0,21418.0,6207.0,21157.0
05 - 06,2025-08-19 06:00:00,2005.0,2025-08-19,2025-08-19 04:00:00,2025-08-17 05:13:35.905,14.0,440.0,261.0,13603.0,30.0,2024-10-01 03:51:19.304000,210.0,1325.0,0.0,9618.0,11539.0,2034.0,7613.0,21418.0,6207.0,21157.0
06 - 07,2025-08-19 07:00:00,2295.0,2025-08-19,2025-08-19 05:00:00,2025-08-17 05:13:35.905,633.0,396.0,1184.0,15331.0,30.0,2024-10-01 03:51:19.304000,210.0,1616.0,0.0,7479.0,13030.0,2271.0,5183.0,21692.0,6207.0,20508.0
07 - 08,2025-08-19 08:00:00,2523.0,2025-08-19,2025-08-19 06:00:00,2025-08-17 05:13:35.905,2602.0,338.0,1684.0,15853.0,30.0,2024-10-16 11:22:43.468000,210.0,2401.0,26295.0,7270.0,12758.0,3065.0,4748.0,21754.0,6237.0,20029.0
08 - 09,2025-08-19 09:00:00,2578.0,2025-08-19,2025-08-19 07:00:00,2025-08-17 05:13:35.905,5490.0,250.0,1742.0,14632.0,30.0,2024-10-16 11:22:43.468000,210.0,3477.0,26295.0,9269.0,10366.0,4236.0,6691.0,21418.0,6243.0,19635.0
09 - 10,2025-08-19 10:00:00,2560.0,2025-08-19,2025-08-19 08:00:00,2025-08-17 05:13:35.905,8210.0,196.0,1742.0,13375.0,30.0,2024-10-16 11:22:43.468000,210.0,4478.0,26295.0,11611.0,8024.0,5321.0,9051.0,21418.0,6243.0,19635.0
10 - 11,2025-08-19 11:00:00,2491.0,2025-08-19,2025-08-19 09:00:00,2025-08-17 05:13:35.905,9872.0,215.0,1725.0,12763.0,30.0,2024-10-16 11:22:43.468000,210.0,5155.0,26295.0,12954.0,6681.0,6052.0,10463.0,21418.0,6243.0,19635.0
11 - 12,2025-08-19 12:00:00,2509.0,2025-08-19,2025-08-19 10:00:00,2025-08-17 05:13:35.905,10409.0,273.0,1741.0,12587.0,30.0,2024-10-16 11:22:43.468000,210.0,5426.0,26295.0,13353.0,6208.0,6349.0,10845.0,21418.0,6243.0,19562.0
12 - 13,2025-08-19 13:00:00,2518.0,2025-08-19,2025-08-19 11:00:00,2025-08-17 05:13:35.905,10466.0,348.0,1380.0,12620.0,30.0,2024-10-16 11:22:43.468000,210.0,5522.0,26295.0,13408.0,6143.0,6447.0,10891.0,21418.0,6243.0,19551.0
13 - 14,2025-08-19 14:00:00,2535.0,2025-08-19,2025-08-19 12:00:00,2025-08-17 05:13:35.905,10220.0,425.0,1328.0,12880.0,30.0,2024-10-16 11:22:43.468000,210.0,5505.0,26295.0,13116.0,6435.0,6415.0,10581.0,21418.0,6243.0,19551.0
14 - 15,2025-08-19 15:00:00,2534.0,2025-08-19,2025-08-19 13:00:00,2025-08-17 05:13:35.905,9646.0,482.0,1346.0,13193.0,30.0,2024-10-16 11:22:43.468000,210.0,5332.0,26295.0,12603.0,6948.0,6215.0,10069.0,21418.0,6212.0,19551.0
