period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-05 00:00:00,1447.0,2025-08-04,2025-08-04 22:00:00,2025-08-04 18:04:20.912,0.0,2794.0,0.0,15444.0,933.0,2024-10-01 03:51:19.304000,0.0,14416.0,0.0,8914.0,9932.0,4579.0,7467.0,20164.0,8061.0,18846.0
00 - 01,2025-08-05 01:00:00,1383.0,2025-08-05,2025-08-04 23:00:00,2025-08-04 18:04:20.912,0.0,3418.0,0.0,14145.0,733.0,2024-10-01 03:51:19.304000,0.0,13318.0,0.0,11622.0,8259.0,5153.0,10239.0,20046.0,8016.0,19882.0
01 - 02,2025-08-05 02:00:00,1335.0,2025-08-05,2025-08-05 00:00:00,2025-08-04 18:04:20.912,0.0,3785.0,0.0,13603.0,-50.0,2024-10-01 03:51:19.304000,0.0,13489.0,0.0,11808.0,8162.0,5491.0,10473.0,19970.0,8075.0,19970.0
02 - 03,2025-08-05 03:00:00,1307.0,2025-08-05,2025-08-05 01:00:00,2025-08-04 18:04:20.912,0.0,3988.0,0.0,13359.0,-50.0,2024-10-01 03:51:19.304000,0.0,13336.0,0.0,12162.0,7803.0,5607.0,10855.0,19965.0,8080.0,19965.0
03 - 04,2025-08-05 04:00:00,1306.0,2025-08-05,2025-08-05 02:00:00,2025-08-04 18:04:20.912,0.0,4168.0,0.0,13354.0,-50.0,2024-10-01 03:51:19.304000,0.0,13365.0,0.0,12357.0,7629.0,5775.0,11051.0,19986.0,8060.0,19986.0
04 - 05,2025-08-05 05:00:00,1312.0,2025-08-05,2025-08-05 03:00:00,2025-08-04 18:04:20.912,0.0,4328.0,0.0,13353.0,-116.0,2024-10-01 03:51:19.304000,0.0,13425.0,0.0,12436.0,7535.0,5934.0,11124.0,19971.0,8074.0,19971.0
05 - 06,2025-08-05 06:00:00,1343.0,2025-08-05,2025-08-05 04:00:00,2025-08-04 18:04:20.912,117.0,4411.0,0.0,13560.0,-215.0,2024-10-01 03:51:19.304000,0.0,13668.0,0.0,12321.0,7666.0,6109.0,10978.0,19987.0,8059.0,19987.0
06 - 07,2025-08-05 07:00:00,1521.0,2025-08-05,2025-08-05 05:00:00,2025-08-04 18:13:35.852,818.0,4343.0,0.0,15066.0,-216.0,2024-10-01 03:51:19.304000,0.0,15053.0,0.0,11123.0,8884.0,6398.0,9602.0,20007.0,8057.0,20007.0
07 - 08,2025-08-05 08:00:00,1669.0,2025-08-05,2025-08-05 06:00:00,2025-08-04 18:04:20.912,2421.0,3949.0,219.0,15749.0,2.0,2024-10-16 11:22:43.468000,0.0,5724.0,26305.0,10949.0,9047.0,6700.0,9280.0,19995.0,8070.0,19995.0
08 - 09,2025-08-05 09:00:00,1728.0,2025-08-05,2025-08-05 07:00:00,2025-08-04 18:04:20.912,4514.0,3340.0,530.0,15258.0,-200.0,2024-10-16 11:22:43.468000,0.0,5900.0,26305.0,11504.0,8455.0,7003.0,9776.0,19959.0,8094.0,19959.0
