period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-16 00:00:00,1818.0,2025-08-15,2025-08-15 22:00:00,2025-08-14 06:23:31.137,0.0,3164.0,0.0,14086.0,35.0,2024-10-01 03:51:19.304000,0.0,3956.0,0.0,11741.0,9264.0,4787.0,9923.0,21005.0,6884.0,21005.0
00 - 01,2025-08-16 01:00:00,1917.0,2025-08-16,2025-08-15 23:00:00,2025-08-14 06:23:31.137,0.0,3281.0,0.0,13043.0,30.0,2024-10-01 03:51:19.304000,0.0,4033.0,0.0,12747.0,8106.0,4907.0,10830.0,20853.0,6753.0,20853.0
01 - 02,2025-08-16 02:00:00,1844.0,2025-08-16,2025-08-16 00:00:00,2025-08-14 06:23:31.137,0.0,3276.0,0.0,12518.0,30.0,2024-10-01 03:51:19.304000,0.0,3981.0,0.0,13233.0,7637.0,4851.0,11389.0,20870.0,6735.0,20870.0
02 - 03,2025-08-16 03:00:00,1792.0,2025-08-16,2025-08-16 01:00:00,2025-08-14 06:23:31.137,0.0,3102.0,0.0,12276.0,30.0,2024-10-01 03:51:19.304000,0.0,3801.0,0.0,13294.0,7576.0,4670.0,11502.0,20870.0,6735.0,20870.0
03 - 04,2025-08-16 04:00:00,1781.0,2025-08-16,2025-08-16 02:00:00,2025-08-14 06:23:31.137,0.0,2895.0,0.0,12069.0,30.0,2024-10-01 03:51:19.304000,0.0,3594.0,0.0,13294.0,7576.0,4463.0,11513.0,20870.0,6735.0,20870.0
04 - 05,2025-08-16 05:00:00,1778.0,2025-08-16,2025-08-16 03:00:00,2025-08-14 06:23:31.137,0.0,2704.0,0.0,12050.0,30.0,2024-10-01 03:51:19.304000,0.0,3412.0,0.0,13122.0,7748.0,4272.0,11344.0,20870.0,6735.0,20870.0
05 - 06,2025-08-16 06:00:00,1772.0,2025-08-16,2025-08-16 04:00:00,2025-08-14 06:23:31.137,32.0,2543.0,0.0,11989.0,30.0,2024-10-01 03:51:19.304000,0.0,3269.0,0.0,13037.0,7833.0,4125.0,11265.0,20870.0,6735.0,20870.0
06 - 07,2025-08-16 07:00:00,1942.0,2025-08-16,2025-08-16 05:00:00,2025-08-14 06:23:31.137,678.0,2292.0,923.0,12839.0,30.0,2024-10-01 03:51:19.304000,0.0,3332.0,0.0,11582.0,8639.0,4170.0,9640.0,21144.0,6735.0,20221.0
07 - 08,2025-08-16 08:00:00,2127.0,2025-08-16,2025-08-16 06:00:00,2025-08-14 06:23:31.137,2538.0,2038.0,1055.0,13123.0,30.0,2024-10-01 03:51:19.304000,0.0,3900.0,0.0,11500.0,8345.0,4747.0,9372.0,20900.0,6735.0,19845.0
08 - 09,2025-08-16 09:00:00,2310.0,2025-08-16,2025-08-16 07:00:00,2025-08-14 06:23:31.137,4991.0,1955.0,1055.0,13057.0,30.0,2024-10-01 03:51:19.304000,0.0,4849.0,0.0,12538.0,7277.0,5750.0,10228.0,20870.0,6736.0,19815.0
09 - 10,2025-08-16 10:00:00,2453.0,2025-08-16,2025-08-16 08:00:00,2025-08-14 06:23:31.137,7112.0,2107.0,1055.0,13212.0,30.0,2024-10-01 03:51:19.304000,0.0,5859.0,0.0,13392.0,6423.0,6759.0,10939.0,20870.0,6737.0,19815.0
10 - 11,2025-08-16 11:00:00,2480.0,2025-08-16,2025-08-16 09:00:00,2025-08-14 06:23:31.137,8535.0,2323.0,1055.0,13367.0,30.0,2024-10-01 03:51:19.304000,0.0,6658.0,0.0,14054.0,5761.0,7576.0,11574.0,20870.0,6737.0,19815.0
11 - 12,2025-08-16 12:00:00,2474.0,2025-08-16,2025-08-16 10:00:00,2025-08-14 06:23:31.137,9212.0,2546.0,1055.0,13066.0,30.0,2024-10-01 03:51:19.304000,0.0,7138.0,0.0,14877.0,4938.0,8098.0,12403.0,20870.0,6737.0,19815.0
12 - 13,2025-08-16 13:00:00,2474.0,2025-08-16,2025-08-16 11:00:00,2025-08-14 06:23:31.137,9442.0,2722.0,1055.0,12936.0,30.0,2024-10-01 03:51:19.304000,0.0,7394.0,0.0,15282.0,4533.0,8374.0,12809.0,20870.0,6737.0,19815.0
13 - 14,2025-08-16 14:00:00,2472.0,2025-08-16,2025-08-16 12:00:00,2025-08-14 06:23:31.137,9358.0,2877.0,1055.0,12983.0,30.0,2024-10-01 03:51:19.304000,0.0,7509.0,0.0,15354.0,4461.0,8492.0,12882.0,20870.0,6737.0,19815.0
14 - 15,2025-08-16 15:00:00,2460.0,2025-08-16,2025-08-16 13:00:00,2025-08-14 06:23:31.137,8947.0,3009.0,1055.0,13114.0,30.0,2024-10-01 03:51:19.304000,0.0,7469.0,0.0,15173.0,4642.0,8442.0,12713.0,20870.0,6737.0,19815.0
