period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-07-29 00:00:00,1509.0,2025-07-28,2025-07-28 22:00:00,2025-07-27 20:32:55.733,0.0,5445.0,0.0,16164.0,-396.0,2024-10-01 03:51:19.304000,0.0,16634.0,0.0,10745.0,9302.0,7259.0,9236.0,20369.0,7715.0,20046.0
00 - 01,2025-07-29 01:00:00,2193.0,2025-07-29,2025-07-28 23:00:00,2025-07-27 20:32:55.733,0.0,5545.0,2.0,15072.0,-45.0,2024-10-01 03:51:19.304000,0.0,6379.0,0.0,12615.0,7905.0,7211.0,10422.0,20619.0,7302.0,20520.0
01 - 02,2025-07-29 02:00:00,2097.0,2025-07-29,2025-07-29 00:00:00,2025-07-27 20:32:55.733,0.0,5639.0,0.0,14365.0,-64.0,2024-10-01 03:51:19.304000,0.0,6425.0,0.0,13407.0,7147.0,7282.0,11310.0,20651.0,7275.0,20554.0
02 - 03,2025-07-29 03:00:00,2030.0,2025-07-29,2025-07-29 01:00:00,2025-07-27 20:32:55.733,0.0,5654.0,0.0,14340.0,-64.0,2024-10-01 03:51:19.304000,0.0,6422.0,0.0,13407.0,7147.0,7258.0,11377.0,20651.0,7275.0,20554.0
03 - 04,2025-07-29 04:00:00,2018.0,2025-07-29,2025-07-29 02:00:00,2025-07-27 20:32:55.733,0.0,5594.0,0.0,14273.0,-64.0,2024-10-01 03:51:19.304000,0.0,6359.0,0.0,13407.0,7147.0,7191.0,11389.0,20651.0,7275.0,20554.0
04 - 05,2025-07-29 05:00:00,2018.0,2025-07-29,2025-07-29 03:00:00,2025-07-27 20:32:55.733,0.0,5520.0,0.0,14165.0,-98.0,2024-10-01 03:51:19.304000,0.0,6284.0,0.0,13407.0,7147.0,7116.0,11389.0,20651.0,7275.0,20554.0
05 - 06,2025-07-29 06:00:00,2057.0,2025-07-29,2025-07-29 04:00:00,2025-07-27 20:32:55.733,147.0,5344.0,12.0,14149.0,-95.0,2024-10-01 03:51:19.304000,0.0,6180.0,0.0,13407.0,7232.0,7012.0,11349.0,20651.0,7275.0,20638.0
06 - 07,2025-07-29 07:00:00,2374.0,2025-07-29,2025-07-29 05:00:00,2025-07-27 20:32:55.733,850.0,5037.0,923.0,15779.0,-150.0,2024-10-01 03:51:19.304000,0.0,6268.0,0.0,10826.0,8902.0,7027.0,8452.0,20651.0,7275.0,19727.0
07 - 08,2025-07-29 08:00:00,2606.0,2025-07-29,2025-07-29 06:00:00,2025-07-27 20:32:55.733,2320.0,4778.0,1657.0,16626.0,-140.0,2024-10-16 11:22:43.468000,0.0,6664.0,26244.0,9788.0,9365.0,7400.0,7182.0,20810.0,7275.0,19153.0
08 - 09,2025-07-29 09:00:00,2670.0,2025-07-29,2025-07-29 07:00:00,2025-07-27 20:32:55.733,4030.0,4819.0,1715.0,16294.0,30.0,2024-10-16 11:22:43.468000,0.0,7399.0,26244.0,10829.0,8078.0,8186.0,8159.0,20651.0,7312.0,18908.0
09 - 10,2025-07-29 10:00:00,2679.0,2025-07-29,2025-07-29 08:00:00,2025-07-27 20:32:55.733,5421.0,4903.0,1623.0,15589.0,30.0,2024-10-16 11:22:43.468000,0.0,8019.0,26244.0,12203.0,6705.0,8854.0,9523.0,20651.0,7317.0,18908.0
10 - 11,2025-07-29 11:00:00,2637.0,2025-07-29,2025-07-29 09:00:00,2025-07-27 20:32:55.733,6647.0,4852.0,1621.0,14827.0,30.0,2024-10-16 11:22:43.468000,0.0,8428.0,26244.0,13407.0,5501.0,9296.0,10770.0,20651.0,7317.0,18908.0
11 - 12,2025-07-29 12:00:00,2665.0,2025-07-29,2025-07-29 10:00:00,2025-07-27 20:32:55.733,7412.0,4741.0,1604.0,15083.0,30.0,2024-10-16 11:22:43.468000,0.0,8668.0,26244.0,13407.0,5501.0,9553.0,10742.0,20651.0,7317.0,18908.0
