period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-01 00:00:00,1482.0,2025-07-31,2025-07-31 22:00:00,2025-07-31 07:52:35.979,0.0,1593.0,0.0,15655.0,1467.0,2024-10-02 11:28:03.900000,0.0,14230.0,0.0,9489.0,10736.0,3451.0,8007.0,20226.0,7747.0,20226.0
00 - 01,2025-08-01 01:00:00,1357.0,2025-08-01,2025-07-31 23:00:00,2025-07-31 07:52:35.979,0.0,1755.0,0.0,14356.0,-20.0,2024-10-02 11:28:03.900000,0.0,2695.0,0.0,8107.0,10837.0,3539.0,6750.0,18944.0,7992.0,18944.0
01 - 02,2025-08-01 02:00:00,1296.0,2025-08-01,2025-08-01 00:00:00,2025-07-31 07:52:35.979,0.0,1838.0,0.0,13650.0,-46.0,2024-10-02 11:28:03.900000,0.0,2743.0,0.0,8805.0,10068.0,3628.0,7509.0,18873.0,8059.0,18873.0
02 - 03,2025-08-01 03:00:00,1263.0,2025-08-01,2025-08-01 01:00:00,2025-07-31 07:52:35.979,0.0,1824.0,0.0,13480.0,-32.0,2024-10-02 11:28:03.900000,0.0,2689.0,0.0,8898.0,9975.0,3537.0,7635.0,18873.0,8059.0,18873.0
03 - 04,2025-08-01 04:00:00,1258.0,2025-08-01,2025-08-01 02:00:00,2025-07-31 07:52:35.979,0.0,1758.0,0.0,13402.0,-30.0,2024-10-02 11:28:03.900000,0.0,2618.0,0.0,8898.0,9975.0,3457.0,7640.0,18873.0,8059.0,18873.0
04 - 05,2025-08-01 05:00:00,1263.0,2025-08-01,2025-08-01 03:00:00,2025-07-31 07:52:35.979,0.0,1651.0,0.0,13294.0,-34.0,2024-10-02 11:28:03.900000,0.0,2510.0,0.0,8898.0,9979.0,3349.0,7635.0,18878.0,8054.0,18878.0
05 - 06,2025-08-01 06:00:00,1307.0,2025-08-01,2025-08-01 04:00:00,2025-07-31 07:52:35.979,180.0,1550.0,0.0,13661.0,-52.0,2024-10-02 11:28:03.900000,0.0,2507.0,0.0,8492.0,10386.0,3327.0,7185.0,18878.0,8058.0,18878.0
06 - 07,2025-08-01 07:00:00,1501.0,2025-08-01,2025-08-01 05:00:00,2025-07-31 07:52:35.979,1006.0,1359.0,923.0,15373.0,-29.0,2024-10-02 11:28:03.900000,0.0,2756.0,0.0,7111.0,11869.0,3534.0,5610.0,19902.0,7200.0,18979.0
07 - 08,2025-08-01 08:00:00,1645.0,2025-08-01,2025-08-01 06:00:00,2025-07-31 07:52:35.979,2645.0,990.0,1055.0,16057.0,-29.0,2024-10-16 11:22:43.468000,0.0,3113.0,26244.0,6838.0,12214.0,3872.0,5193.0,20129.0,7086.0,19052.0
08 - 09,2025-08-01 09:00:00,1676.0,2025-08-01,2025-08-01 07:00:00,2025-07-31 07:52:35.979,4781.0,770.0,1055.0,15267.0,30.0,2024-10-16 11:22:43.468000,0.0,3765.0,26244.0,8116.0,10654.0,4582.0,6440.0,19850.0,7102.0,18770.0
09 - 10,2025-08-01 10:00:00,1678.0,2025-08-01,2025-08-01 08:00:00,2025-07-31 07:52:35.979,6504.0,859.0,1055.0,15231.0,30.0,2024-10-16 11:22:43.468000,0.0,4565.0,26244.0,8951.0,9789.0,5412.0,7273.0,19820.0,7107.0,18739.0
10 - 11,2025-08-01 11:00:00,1667.0,2025-08-01,2025-08-01 09:00:00,2025-07-31 07:52:35.979,7529.0,1027.0,1055.0,14835.0,30.0,2024-10-16 11:22:43.468000,0.0,5123.0,26244.0,9869.0,8809.0,5996.0,8202.0,19807.0,7101.0,18677.0
11 - 12,2025-08-01 12:00:00,1703.0,2025-08-01,2025-08-01 10:00:00,2025-07-31 07:52:35.979,8041.0,1173.0,1055.0,14966.0,30.0,2024-10-16 11:22:43.468000,0.0,5480.0,26244.0,10152.0,8578.0,6358.0,8449.0,19795.0,7118.0,18730.0
12 - 13,2025-08-01 13:00:00,1720.0,2025-08-01,2025-08-01 11:00:00,2025-07-31 07:52:35.979,7980.0,1298.0,1055.0,15169.0,30.0,2024-10-16 11:22:43.468000,0.0,5578.0,26244.0,10045.0,8690.0,6449.0,8325.0,19790.0,7124.0,18735.0
13 - 14,2025-08-01 14:00:00,1716.0,2025-08-01,2025-08-01 12:00:00,2025-07-31 07:52:35.979,7610.0,1347.0,1055.0,15302.0,0.0,2024-10-16 11:22:43.468000,0.0,5479.0,26244.0,9762.0,8964.0,6338.0,8046.0,19781.0,7137.0,18726.0
14 - 15,2025-08-01 15:00:00,1709.0,2025-08-01,2025-08-01 13:00:00,2025-07-31 07:52:35.979,7214.0,1265.0,1055.0,15454.0,0.0,2024-10-16 11:22:43.468000,0.0,5238.0,26244.0,9337.0,9385.0,6069.0,7628.0,19777.0,7142.0,18722.0
15 - 16,2025-08-01 16:00:00,1719.0,2025-08-01,2025-08-01 14:00:00,2025-07-31 07:52:35.979,6597.0,1125.0,1055.0,15278.0,0.0,2024-10-16 11:22:43.468000,0.0,4839.0,26244.0,9112.0,9616.0,5662.0,7393.0,19783.0,7134.0,18728.0
16 - 17,2025-08-01 17:00:00,1722.0,2025-08-01,2025-08-01 15:00:00,2025-07-31 07:52:35.979,5582.0,977.0,1055.0,15272.0,-35.0,2024-10-16 11:22:43.468000,0.0,4300.0,26244.0,8547.0,10178.0,5128.0,6825.0,19781.0,7136.0,18726.0
17 - 18,2025-08-01 18:00:00,1736.0,2025-08-01,2025-08-01 16:00:00,2025-07-31 07:52:35.979,4234.0,813.0,1055.0,16010.0,-205.0,2024-10-16 11:22:43.468000,0.0,3643.0,26244.0,7111.0,11764.0,4451.0,5375.0,19929.0,7102.0,18874.0
18 - 19,2025-08-01 19:00:00,1744.0,2025-08-01,2025-08-01 17:00:00,2025-07-31 07:52:35.979,2694.0,671.0,1055.0,16932.0,-225.0,2024-10-16 11:22:43.468000,0.0,2906.0,26244.0,6507.0,13378.0,3779.0,4763.0,20940.0,7093.0,19885.0
19 - 20,2025-08-01 20:00:00,1734.0,2025-08-01,2025-08-01 18:00:00,2025-07-31 07:52:35.979,1238.0,658.0,1055.0,17897.0,30.0,2024-10-16 11:22:43.468000,0.0,2347.0,26244.0,5434.0,14604.0,3262.0,3700.0,21093.0,7080.0,20038.0
20 - 21,2025-08-01 21:00:00,1734.0,2025-08-01,2025-08-01 19:00:00,2025-07-31 07:52:35.979,251.0,743.0,132.0,18451.0,30.0,2024-10-16 11:22:43.468000,0.0,2045.0,26244.0,5465.0,15485.0,2935.0,3731.0,21190.0,7070.0,20951.0
21 - 22,2025-08-01 22:00:00,1703.0,2025-08-01,2025-08-01 20:00:00,2025-07-31 07:52:35.979,4.0,911.0,0.0,18245.0,30.0,2024-10-16 11:22:43.468000,0.0,2105.0,26244.0,5617.0,15225.0,2989.0,3914.0,20966.0,7061.0,20843.0
22 - 23,2025-08-01 23:00:00,1605.0,2025-08-01,2025-08-01 21:00:00,2025-07-31 07:52:35.979,0.0,1170.0,0.0,16973.0,-147.0,2024-10-02 11:28:03.900000,0.0,2286.0,0.0,6368.0,14009.0,3111.0,4763.0,20544.0,7052.0,20377.0
