period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-19 00:00:00,1656.0,2025-08-18,2025-08-18 22:00:00,2025-08-17 02:33:30.884,0.0,387.0,248.0,15494.0,30.0,2024-10-01 03:51:19.304000,210.0,1410.0,0.0,8124.0,13374.0,2090.0,6468.0,21759.0,7052.0,21498.0
00 - 01,2025-08-19 01:00:00,2096.0,2025-08-19,2025-08-18 23:00:00,2025-08-17 02:43:05.919,0.0,339.0,261.0,14264.0,30.0,2024-10-01 03:51:19.304000,210.0,1275.0,0.0,8812.0,12266.0,1968.0,6717.0,21339.0,6290.0,21078.0
01 - 02,2025-08-19 02:00:00,1985.0,2025-08-19,2025-08-19 00:00:00,2025-08-17 02:43:05.919,0.0,322.0,261.0,13466.0,30.0,2024-10-01 03:51:19.304000,210.0,1201.0,0.0,9633.0,11524.0,1912.0,7648.0,21418.0,6207.0,21157.0
02 - 03,2025-08-19 03:00:00,1936.0,2025-08-19,2025-08-19 01:00:00,2025-08-17 02:43:05.919,0.0,337.0,261.0,13117.0,30.0,2024-10-01 03:51:19.304000,210.0,1197.0,0.0,9993.0,11164.0,1923.0,8058.0,21418.0,6207.0,21157.0
03 - 04,2025-08-19 04:00:00,1928.0,2025-08-19,2025-08-19 02:00:00,2025-08-17 02:43:05.919,0.0,369.0,261.0,13085.0,30.0,2024-10-01 03:51:19.304000,210.0,1226.0,0.0,10057.0,11100.0,1955.0,8129.0,21418.0,6207.0,21157.0
04 - 05,2025-08-19 05:00:00,1938.0,2025-08-19,2025-08-19 03:00:00,2025-08-17 02:43:05.919,0.0,422.0,261.0,13136.0,30.0,2024-10-01 03:51:19.304000,210.0,1278.0,0.0,10057.0,11100.0,2006.0,8119.0,21418.0,6207.0,21157.0
05 - 06,2025-08-19 06:00:00,2005.0,2025-08-19,2025-08-19 04:00:00,2025-08-17 02:43:05.919,14.0,442.0,261.0,13603.0,30.0,2024-10-01 03:51:19.304000,210.0,1328.0,0.0,9620.0,11537.0,2036.0,7615.0,21418.0,6207.0,21157.0
06 - 07,2025-08-19 07:00:00,2295.0,2025-08-19,2025-08-19 05:00:00,2025-08-17 02:43:05.919,633.0,399.0,1184.0,15331.0,30.0,2024-10-01 03:51:19.304000,210.0,1619.0,0.0,7481.0,13027.0,2274.0,5186.0,21692.0,6207.0,20508.0
07 - 08,2025-08-19 08:00:00,2523.0,2025-08-19,2025-08-19 06:00:00,2025-08-17 02:43:05.919,2602.0,340.0,1684.0,15853.0,30.0,2024-10-16 11:22:43.468000,210.0,2403.0,26295.0,7272.0,12756.0,3067.0,4749.0,21753.0,6237.0,20028.0
08 - 09,2025-08-19 09:00:00,2578.0,2025-08-19,2025-08-19 07:00:00,2025-08-17 02:43:05.919,5490.0,252.0,1742.0,14632.0,30.0,2024-10-16 11:22:43.468000,210.0,3478.0,26295.0,9271.0,10364.0,4238.0,6693.0,21418.0,6243.0,19635.0
09 - 10,2025-08-19 10:00:00,2560.0,2025-08-19,2025-08-19 08:00:00,2025-08-17 02:43:05.919,8210.0,198.0,1742.0,13375.0,30.0,2024-10-16 11:22:43.468000,210.0,4480.0,26295.0,11612.0,8023.0,5322.0,9052.0,21418.0,6243.0,19635.0
10 - 11,2025-08-19 11:00:00,2491.0,2025-08-19,2025-08-19 09:00:00,2025-08-17 02:43:05.919,9872.0,217.0,1725.0,12763.0,30.0,2024-10-16 11:22:43.468000,210.0,5157.0,26295.0,12956.0,6679.0,6053.0,10465.0,21418.0,6243.0,19635.0
11 - 12,2025-08-19 12:00:00,2509.0,2025-08-19,2025-08-19 10:00:00,2025-08-17 02:43:05.919,10409.0,276.0,1741.0,12587.0,30.0,2024-10-16 11:22:43.468000,210.0,5428.0,26295.0,13356.0,6206.0,6351.0,10847.0,21418.0,6243.0,19562.0
12 - 13,2025-08-19 13:00:00,2518.0,2025-08-19,2025-08-19 11:00:00,2025-08-17 02:43:05.919,10466.0,349.0,1380.0,12620.0,30.0,2024-10-16 11:22:43.468000,210.0,5523.0,26295.0,13410.0,6141.0,6449.0,10893.0,21418.0,6243.0,19551.0
13 - 14,2025-08-19 14:00:00,2535.0,2025-08-19,2025-08-19 12:00:00,2025-08-17 02:43:05.919,10220.0,426.0,1328.0,12880.0,30.0,2024-10-16 11:22:43.468000,210.0,5506.0,26295.0,13118.0,6433.0,6416.0,10583.0,21418.0,6243.0,19551.0
14 - 15,2025-08-19 15:00:00,2534.0,2025-08-19,2025-08-19 13:00:00,2025-08-17 02:43:05.919,9646.0,484.0,1346.0,13193.0,30.0,2024-10-16 11:22:43.468000,210.0,5334.0,26295.0,12605.0,6946.0,6217.0,10071.0,21418.0,6212.0,19551.0
15 - 16,2025-08-19 16:00:00,2600.0,2025-08-19,2025-08-19 14:00:00,2025-08-17 02:43:05.919,8848.0,513.0,1348.0,13987.0,30.0,2024-10-16 11:22:43.468000,210.0,5068.0,26295.0,11488.0,8063.0,5894.0,8888.0,21418.0,6207.0,19551.0
16 - 17,2025-08-19 17:00:00,2682.0,2025-08-19,2025-08-19 15:00:00,2025-08-17 02:43:05.919,7507.0,524.0,1511.0,14563.0,30.0,2024-10-16 11:22:43.468000,210.0,4555.0,26295.0,10362.0,9189.0,5344.0,7680.0,21418.0,6207.0,19551.0
17 - 18,2025-08-19 18:00:00,2748.0,2025-08-19,2025-08-19 16:00:00,2025-08-17 02:43:05.919,5451.0,487.0,1534.0,15860.0,30.0,2024-10-16 11:22:43.468000,210.0,3768.0,26295.0,8290.0,11313.0,4517.0,5542.0,21418.0,6207.0,19604.0
18 - 19,2025-08-19 19:00:00,2812.0,2025-08-19,2025-08-19 17:00:00,2025-08-17 02:43:05.919,2976.0,428.0,1534.0,17709.0,30.0,2024-10-16 11:22:43.468000,210.0,2785.0,26295.0,6632.0,14131.0,3548.0,3819.0,22570.0,6207.0,20763.0
19 - 20,2025-08-19 20:00:00,2811.0,2025-08-19,2025-08-19 18:00:00,2025-08-17 02:43:05.919,914.0,464.0,1534.0,18851.0,30.0,2024-10-16 11:22:43.468000,210.0,2033.0,26295.0,5009.0,15987.0,2834.0,2199.0,22804.0,6207.0,20996.0
20 - 21,2025-08-19 21:00:00,2811.0,2025-08-19,2025-08-19 19:00:00,2025-08-17 02:43:05.919,54.0,594.0,829.0,19333.0,30.0,2024-10-16 11:22:43.468000,210.0,1844.0,26295.0,4804.0,16679.0,2625.0,1994.0,22585.0,6207.0,21483.0
21 - 22,2025-08-19 22:00:00,2707.0,2025-08-19,2025-08-19 20:00:00,2025-08-17 02:43:05.919,0.0,725.0,728.0,18622.0,30.0,2024-10-16 11:22:43.468000,210.0,1907.0,26295.0,5645.0,15923.0,2668.0,2939.0,22570.0,6207.0,21569.0
22 - 23,2025-08-19 23:00:00,2489.0,2025-08-19,2025-08-19 21:00:00,2025-08-17 02:43:05.919,0.0,878.0,354.0,17065.0,30.0,2024-10-01 03:51:19.304000,210.0,1967.0,0.0,7391.0,14337.0,2698.0,4903.0,22082.0,6207.0,21729.0
