period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-09 00:00:00,1448.0,2025-08-08,2025-08-08 22:00:00,2025-08-08 06:02:41.086,0.0,508.0,0.0,15582.0,1975.0,2024-10-01 03:51:19.304000,0.0,13609.0,0.0,9173.0,11263.0,2345.0,7725.0,20394.0,7779.0,20436.0
00 - 01,2025-08-09 01:00:00,1685.0,2025-08-09,2025-08-08 23:00:00,2025-08-08 06:02:41.086,0.0,582.0,0.0,14634.0,26.0,2024-10-01 03:51:19.304000,0.0,1630.0,0.0,8617.0,12321.0,2287.0,6932.0,20937.0,7230.0,20937.0
01 - 02,2025-08-09 02:00:00,1614.0,2025-08-09,2025-08-09 00:00:00,2025-08-08 06:02:41.086,0.0,619.0,0.0,13954.0,26.0,2024-10-01 03:51:19.304000,0.0,1625.0,0.0,9120.0,11644.0,2284.0,7506.0,20764.0,7198.0,20764.0
02 - 03,2025-08-09 03:00:00,1574.0,2025-08-09,2025-08-09 01:00:00,2025-08-08 06:02:41.086,0.0,657.0,0.0,13566.0,26.0,2024-10-01 03:51:19.304000,0.0,1643.0,0.0,9469.0,11223.0,2317.0,7895.0,20692.0,7198.0,20692.0
03 - 04,2025-08-09 04:00:00,1552.0,2025-08-09,2025-08-09 02:00:00,2025-08-08 06:02:41.086,0.0,644.0,0.0,13366.0,26.0,2024-10-01 03:51:19.304000,0.0,1621.0,0.0,9656.0,11036.0,2304.0,8104.0,20692.0,7198.0,20692.0
04 - 05,2025-08-09 05:00:00,1532.0,2025-08-09,2025-08-09 03:00:00,2025-08-08 06:02:41.086,0.0,580.0,0.0,13229.0,26.0,2024-10-01 03:51:19.304000,0.0,1539.0,0.0,9694.0,10998.0,2205.0,8162.0,20692.0,7198.0,20692.0
05 - 06,2025-08-09 06:00:00,1371.0,2025-08-09,2025-08-09 04:00:00,2025-08-08 06:02:41.086,109.0,469.0,0.0,12880.0,26.0,2024-10-01 03:51:19.304000,0.0,1459.0,0.0,9974.0,10718.0,2136.0,8603.0,20692.0,7198.0,20692.0
06 - 07,2025-08-09 07:00:00,1448.0,2025-08-09,2025-08-09 05:00:00,2025-08-08 06:02:41.086,872.0,352.0,923.0,13178.0,41.0,2024-10-01 03:51:19.304000,0.0,1671.0,0.0,9231.0,10770.0,2367.0,7783.0,20924.0,7198.0,20000.0
07 - 08,2025-08-09 08:00:00,1580.0,2025-08-09,2025-08-09 06:00:00,2025-08-08 06:02:41.086,2733.0,229.0,1055.0,13293.0,-15.0,2024-10-01 03:51:19.304000,0.0,2347.0,0.0,9381.0,10256.0,3051.0,7801.0,20692.0,7198.0,19637.0
08 - 09,2025-08-09 09:00:00,2718.0,2025-08-09,2025-08-09 07:00:00,2025-08-08 06:02:41.086,5340.0,131.0,1055.0,13085.0,11.0,2024-10-01 03:51:19.304000,0.0,3333.0,0.0,10657.0,8980.0,4094.0,7939.0,20692.0,7200.0,19637.0
09 - 10,2025-08-09 10:00:00,2785.0,2025-08-09,2025-08-09 08:00:00,2025-08-08 06:02:41.086,7801.0,94.0,1055.0,12324.0,11.0,2024-10-01 03:51:19.304000,0.0,4275.0,0.0,12427.0,7210.0,5103.0,9642.0,20692.0,7200.0,19637.0
10 - 11,2025-08-09 11:00:00,2819.0,2025-08-09,2025-08-09 09:00:00,2025-08-08 06:02:41.086,9436.0,113.0,1055.0,12383.0,0.0,2024-10-01 03:51:19.304000,0.0,4975.0,0.0,13076.0,6561.0,5822.0,10257.0,20692.0,7200.0,19637.0
11 - 12,2025-08-09 12:00:00,2810.0,2025-08-09,2025-08-09 10:00:00,2025-08-08 06:02:41.086,10076.0,153.0,1055.0,11886.0,0.0,2024-10-01 03:51:19.304000,0.0,5256.0,0.0,13893.0,5744.0,6142.0,11083.0,20692.0,7200.0,19637.0
12 - 13,2025-08-09 13:00:00,2794.0,2025-08-09,2025-08-09 11:00:00,2025-08-08 06:02:41.086,10214.0,210.0,1055.0,11553.0,0.0,2024-10-01 03:51:19.304000,0.0,5350.0,0.0,13757.0,5294.0,6259.0,10963.0,20106.0,7787.0,19051.0
13 - 14,2025-08-09 14:00:00,2791.0,2025-08-09,2025-08-09 12:00:00,2025-08-08 06:02:41.086,10068.0,258.0,1055.0,11548.0,0.0,2024-10-01 03:51:19.304000,0.0,5334.0,0.0,13663.0,5304.0,6244.0,10872.0,20022.0,7881.0,18967.0
14 - 15,2025-08-09 15:00:00,2801.0,2025-08-09,2025-08-09 13:00:00,2025-08-08 06:02:41.086,9686.0,272.0,1055.0,11842.0,-46.0,2024-10-01 03:51:19.304000,0.0,5205.0,0.0,13167.0,5800.0,6088.0,10366.0,20022.0,7912.0,18967.0
15 - 16,2025-08-09 16:00:00,2829.0,2025-08-09,2025-08-09 14:00:00,2025-08-08 06:02:41.086,8880.0,251.0,1055.0,12478.0,-51.0,2024-10-01 03:51:19.304000,0.0,4882.0,0.0,12157.0,6810.0,5719.0,9328.0,20022.0,7906.0,18967.0
16 - 17,2025-08-09 17:00:00,2858.0,2025-08-09,2025-08-09 15:00:00,2025-08-08 06:02:41.086,7615.0,227.0,1055.0,12778.0,-117.0,2024-10-01 03:51:19.304000,0.0,4350.0,0.0,11219.0,7748.0,5148.0,8361.0,20022.0,7906.0,18967.0
17 - 18,2025-08-09 18:00:00,1702.0,2025-08-09,2025-08-09 16:00:00,2025-08-08 06:02:41.086,5845.0,215.0,1055.0,13781.0,-152.0,2024-10-01 03:51:19.304000,0.0,3662.0,0.0,9435.0,9532.0,4401.0,7733.0,20022.0,7906.0,18967.0
18 - 19,2025-08-09 19:00:00,1716.0,2025-08-09,2025-08-09 17:00:00,2025-08-08 06:02:41.086,3526.0,242.0,1055.0,15141.0,-169.0,2024-10-01 03:51:19.304000,0.0,2776.0,0.0,8339.0,11779.0,3531.0,6623.0,21174.0,7904.0,20119.0
19 - 20,2025-08-09 20:00:00,1763.0,2025-08-09,2025-08-09 18:00:00,2025-08-08 06:02:41.086,1242.0,385.0,1055.0,16421.0,-18.0,2024-10-01 03:51:19.304000,0.0,2032.0,0.0,6743.0,13619.0,2820.0,4980.0,21416.0,7904.0,20361.0
20 - 21,2025-08-09 21:00:00,1853.0,2025-08-09,2025-08-09 19:00:00,2025-08-08 06:02:41.086,158.0,656.0,132.0,17016.0,48.0,2024-10-01 03:51:19.304000,0.0,1876.0,0.0,6766.0,14334.0,2633.0,4913.0,21232.0,7904.0,21101.0
21 - 22,2025-08-09 22:00:00,1942.0,2025-08-09,2025-08-09 20:00:00,2025-08-08 06:02:41.086,2.0,1060.0,0.0,16604.0,-116.0,2024-10-01 03:51:19.304000,0.0,2185.0,0.0,7418.0,13755.0,2965.0,5476.0,21174.0,7904.0,21174.0
22 - 23,2025-08-09 23:00:00,1864.0,2025-08-09,2025-08-09 21:00:00,2025-08-08 06:02:41.086,0.0,1563.0,0.0,15667.0,-81.0,2024-10-01 03:51:19.304000,0.0,2621.0,0.0,8347.0,12400.0,3349.0,6483.0,20747.0,7904.0,20747.0
