period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-11 00:00:00,2062.0,2025-08-10,2025-08-10 22:00:00,2025-08-08 14:43:05.668,0.0,3254.0,0.0,14211.0,25.0,2024-10-01 03:51:19.304000,0.0,4119.0,0.0,11278.0,9242.0,4944.0,9216.0,20521.0,8130.0,20521.0
00 - 01,2025-08-11 01:00:00,1919.0,2025-08-11,2025-08-10 23:00:00,2025-08-08 14:43:05.668,0.0,3067.0,0.0,13519.0,35.0,2024-10-01 03:51:19.304000,0.0,3936.0,0.0,11871.0,8749.0,4735.0,9952.0,20621.0,7919.0,20621.0
01 - 02,2025-08-11 02:00:00,1848.0,2025-08-11,2025-08-11 00:00:00,2025-08-08 14:43:05.668,0.0,2879.0,0.0,12691.0,35.0,2024-10-01 03:51:19.304000,0.0,3691.0,0.0,11644.0,8174.0,4483.0,9796.0,19818.0,7889.0,19818.0
02 - 03,2025-08-11 03:00:00,1812.0,2025-08-11,2025-08-11 01:00:00,2025-08-08 14:43:05.668,0.0,2692.0,0.0,12428.0,35.0,2024-10-01 03:51:19.304000,0.0,3496.0,0.0,11711.0,8107.0,4286.0,9899.0,19818.0,7889.0,19818.0
03 - 04,2025-08-11 04:00:00,1809.0,2025-08-11,2025-08-11 02:00:00,2025-08-08 14:43:05.668,0.0,2503.0,0.0,12409.0,35.0,2024-10-01 03:51:19.304000,0.0,3316.0,0.0,11541.0,8277.0,4098.0,9732.0,19818.0,7889.0,19818.0
04 - 05,2025-08-11 05:00:00,1829.0,2025-08-11,2025-08-11 03:00:00,2025-08-08 14:43:05.668,0.0,2303.0,0.0,12553.0,35.0,2024-10-01 03:51:19.304000,0.0,3133.0,0.0,11195.0,8623.0,3895.0,9365.0,19818.0,7889.0,19818.0
05 - 06,2025-08-11 06:00:00,1925.0,2025-08-11,2025-08-11 04:00:00,2025-08-08 14:43:05.668,79.0,1973.0,0.0,13189.0,30.0,2024-10-01 03:51:19.304000,0.0,2889.0,0.0,10271.0,9546.0,3613.0,8346.0,19818.0,7889.0,19818.0
06 - 07,2025-08-11 07:00:00,2236.0,2025-08-11,2025-08-11 05:00:00,2025-08-08 14:43:05.668,846.0,1463.0,923.0,14976.0,30.0,2024-10-01 03:51:19.304000,0.0,2816.0,0.0,8229.0,11486.0,3459.0,5993.0,20638.0,7148.0,19715.0
07 - 08,2025-08-11 08:00:00,2457.0,2025-08-11,2025-08-11 06:00:00,2025-08-08 14:43:05.668,2909.0,1008.0,1142.0,15402.0,30.0,2024-10-16 11:22:43.468000,0.0,3248.0,26285.0,8443.0,11469.0,3903.0,5986.0,21054.0,7042.0,19912.0
08 - 09,2025-08-11 09:00:00,2562.0,2025-08-11,2025-08-11 07:00:00,2025-08-08 14:43:05.668,5776.0,801.0,1154.0,14544.0,30.0,2024-10-16 11:22:43.468000,0.0,4227.0,26285.0,10017.0,9550.0,4964.0,7455.0,20721.0,7045.0,19567.0
