period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-21 00:00:00,2303.0,2025-08-20,2025-08-20 22:00:00,2025-08-18 18:13:30.922,0.0,2025.0,261.0,15794.0,35.0,2024-10-01 03:51:19.304000,0.0,3024.0,0.0,8921.0,11975.0,3784.0,6618.0,21157.0,6389.0,20896.0
00 - 01,2025-08-21 01:00:00,2107.0,2025-08-21,2025-08-20 23:00:00,2025-08-18 18:13:30.922,0.0,1784.0,261.0,14388.0,30.0,2024-10-01 03:51:19.304000,0.0,2678.0,0.0,10117.0,10942.0,3416.0,8010.0,21320.0,6322.0,21059.0
01 - 02,2025-08-21 02:00:00,2006.0,2025-08-21,2025-08-21 00:00:00,2025-08-18 18:13:30.922,0.0,1585.0,261.0,13794.0,30.0,2024-10-01 03:51:19.304000,0.0,2452.0,0.0,10465.0,10565.0,3199.0,8460.0,21291.0,6351.0,21030.0
02 - 03,2025-08-21 03:00:00,1957.0,2025-08-21,2025-08-21 01:00:00,2025-08-18 18:13:30.922,0.0,1403.0,261.0,13611.0,30.0,2024-10-01 03:51:19.304000,0.0,2269.0,0.0,10465.0,10565.0,3017.0,8509.0,21291.0,6351.0,21030.0
03 - 04,2025-08-21 04:00:00,1949.0,2025-08-21,2025-08-21 02:00:00,2025-08-18 18:13:30.922,0.0,1268.0,261.0,13476.0,30.0,2024-10-01 03:51:19.304000,0.0,2142.0,0.0,10465.0,10565.0,2882.0,8516.0,21291.0,6351.0,21030.0
04 - 05,2025-08-21 05:00:00,1959.0,2025-08-21,2025-08-21 03:00:00,2025-08-18 18:13:30.922,0.0,1135.0,261.0,13347.0,30.0,2024-10-01 03:51:19.304000,0.0,2008.0,0.0,10459.0,10571.0,2746.0,8500.0,21291.0,6351.0,21030.0
05 - 06,2025-08-21 06:00:00,2026.0,2025-08-21,2025-08-21 04:00:00,2025-08-18 18:13:30.922,9.0,980.0,261.0,13816.0,30.0,2024-10-01 03:51:19.304000,0.0,1889.0,0.0,9841.0,11189.0,2597.0,7815.0,21291.0,6351.0,21030.0
06 - 07,2025-08-21 07:00:00,2316.0,2025-08-21,2025-08-21 05:00:00,2025-08-18 18:13:30.922,552.0,764.0,1184.0,15586.0,30.0,2024-10-01 03:51:19.304000,0.0,1987.0,0.0,7424.0,12935.0,2622.0,5108.0,21543.0,6351.0,20359.0
07 - 08,2025-08-21 08:00:00,2544.0,2025-08-21,2025-08-21 06:00:00,2025-08-18 18:13:30.922,2309.0,522.0,1725.0,16228.0,30.0,2024-10-16 11:22:43.468000,0.0,2515.0,26308.0,6786.0,13055.0,3143.0,4242.0,21565.0,6351.0,19840.0
08 - 09,2025-08-21 09:00:00,2599.0,2025-08-21,2025-08-21 07:00:00,2025-08-18 18:13:30.922,4918.0,321.0,1783.0,15161.0,30.0,2024-10-16 11:22:43.468000,0.0,3375.0,26308.0,8465.0,11043.0,4088.0,5866.0,21291.0,6371.0,19508.0
09 - 10,2025-08-21 10:00:00,2590.0,2025-08-21,2025-08-21 08:00:00,2025-08-18 18:13:30.922,7456.0,240.0,1783.0,14138.0,30.0,2024-10-16 11:22:43.468000,0.0,4286.0,26308.0,10465.0,9043.0,5065.0,7875.0,21291.0,6373.0,19508.0
10 - 11,2025-08-21 11:00:00,2567.0,2025-08-21,2025-08-21 09:00:00,2025-08-18 18:13:30.922,9115.0,210.0,1783.0,13789.0,30.0,2024-10-16 11:22:43.468000,0.0,4928.0,26308.0,11493.0,8015.0,5745.0,8926.0,21291.0,6373.0,19508.0
11 - 12,2025-08-21 12:00:00,2600.0,2025-08-21,2025-08-21 10:00:00,2025-08-18 18:13:30.922,9791.0,199.0,1783.0,13662.0,30.0,2024-10-16 11:22:43.468000,0.0,5194.0,26308.0,11907.0,7600.0,6032.0,9308.0,21291.0,6373.0,19508.0
12 - 13,2025-08-21 13:00:00,2615.0,2025-08-21,2025-08-21 11:00:00,2025-08-18 18:13:30.922,9885.0,182.0,1783.0,13695.0,30.0,2024-10-16 11:22:43.468000,0.0,5218.0,26308.0,11898.0,7610.0,6056.0,9283.0,21291.0,6373.0,19508.0
13 - 14,2025-08-21 14:00:00,2633.0,2025-08-21,2025-08-21 12:00:00,2025-08-18 18:13:30.922,9539.0,177.0,1783.0,14021.0,30.0,2024-10-16 11:22:43.468000,0.0,5086.0,26308.0,11416.0,8091.0,5899.0,8783.0,21291.0,6373.0,19508.0
14 - 15,2025-08-21 15:00:00,2632.0,2025-08-21,2025-08-21 13:00:00,2025-08-18 18:13:30.922,8716.0,193.0,1783.0,14473.0,30.0,2024-10-16 11:22:43.468000,0.0,4780.0,26308.0,10620.0,8888.0,5555.0,7988.0,21291.0,6373.0,19508.0
15 - 16,2025-08-21 16:00:00,2686.0,2025-08-21,2025-08-21 14:00:00,2025-08-18 18:13:30.922,7682.0,218.0,1783.0,14224.0,30.0,2024-10-16 11:22:43.468000,0.0,4362.0,26308.0,10465.0,9043.0,5152.0,7779.0,21291.0,6373.0,19508.0
16 - 17,2025-08-21 17:00:00,2727.0,2025-08-21,2025-08-21 15:00:00,2025-08-18 18:13:30.922,6168.0,272.0,1783.0,15358.0,30.0,2024-10-16 11:22:43.468000,0.0,3835.0,26308.0,8719.0,10788.0,4539.0,5993.0,21291.0,6373.0,19508.0
17 - 18,2025-08-21 18:00:00,2790.0,2025-08-21,2025-08-21 16:00:00,2025-08-18 18:13:30.922,4049.0,344.0,1783.0,16989.0,30.0,2024-10-16 11:22:43.468000,0.0,3089.0,26308.0,7030.0,13202.0,3757.0,4241.0,22016.0,6373.0,20233.0
18 - 19,2025-08-21 19:00:00,2854.0,2025-08-21,2025-08-21 17:00:00,2025-08-18 18:13:30.922,2049.0,475.0,1146.0,18572.0,30.0,2024-10-16 11:22:43.468000,0.0,2470.0,26308.0,5851.0,15446.0,3096.0,2996.0,22443.0,6354.0,21297.0
