period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-22 00:00:00,1467.0,2025-08-21,2025-08-21 22:00:00,2025-08-21 07:32:55.930,0.0,1011.0,0.0,15583.0,2510.0,2024-10-01 03:51:19.304000,0.0,13085.0,0.0,9397.0,10359.0,2714.0,7930.0,20228.0,7671.0,19756.0
00 - 01,2025-08-22 01:00:00,1340.0,2025-08-22,2025-08-21 23:00:00,2025-08-21 07:32:55.930,0.0,1192.0,0.0,14226.0,30.0,2024-10-01 03:51:19.304000,0.0,2112.0,0.0,8638.0,11327.0,2870.0,7298.0,19964.0,7989.0,19964.0
01 - 02,2025-08-22 02:00:00,1276.0,2025-08-22,2025-08-22 00:00:00,2025-08-21 07:32:55.930,0.0,1269.0,0.0,13514.0,30.0,2024-10-01 03:51:19.304000,0.0,2161.0,0.0,9119.0,10540.0,2944.0,7843.0,19659.0,8039.0,19659.0
02 - 03,2025-08-22 03:00:00,1244.0,2025-08-22,2025-08-22 01:00:00,2025-08-21 07:32:55.930,0.0,1315.0,0.0,13164.0,30.0,2024-10-01 03:51:19.304000,0.0,2187.0,0.0,9519.0,10144.0,2990.0,8275.0,19663.0,8035.0,19663.0
03 - 04,2025-08-22 04:00:00,1239.0,2025-08-22,2025-08-22 02:00:00,2025-08-21 07:32:55.930,0.0,1463.0,0.0,13108.0,30.0,2024-10-01 03:51:19.304000,0.0,2325.0,0.0,9724.0,9940.0,3138.0,8485.0,19664.0,8034.0,19664.0
04 - 05,2025-08-22 05:00:00,1258.0,2025-08-22,2025-08-22 03:00:00,2025-08-21 07:32:55.930,0.0,1678.0,0.0,13322.0,30.0,2024-10-01 03:51:19.304000,0.0,2540.0,0.0,9724.0,9940.0,3352.0,8466.0,19664.0,8034.0,19664.0
05 - 06,2025-08-22 06:00:00,1297.0,2025-08-22,2025-08-22 04:00:00,2025-08-21 07:32:55.930,10.0,1881.0,0.0,13741.0,30.0,2024-10-01 03:51:19.304000,0.0,2758.0,0.0,9519.0,10149.0,3562.0,8222.0,19668.0,8030.0,19668.0
06 - 07,2025-08-22 07:00:00,1486.0,2025-08-22,2025-08-22 05:00:00,2025-08-21 07:32:55.930,485.0,2043.0,923.0,15571.0,30.0,2024-10-01 03:51:19.304000,0.0,3164.0,0.0,7862.0,11608.0,3933.0,6376.0,20394.0,8029.0,19471.0
07 - 08,2025-08-22 08:00:00,1635.0,2025-08-22,2025-08-22 06:00:00,2025-08-21 07:32:55.930,2202.0,1947.0,1464.0,16272.0,30.0,2024-10-16 11:22:43.468000,0.0,3802.0,26306.0,7706.0,11647.0,4595.0,6071.0,20816.0,8033.0,19353.0
08 - 09,2025-08-22 09:00:00,1682.0,2025-08-22,2025-08-22 07:00:00,2025-08-21 07:32:55.930,4801.0,1780.0,1522.0,15337.0,30.0,2024-10-16 11:22:43.468000,0.0,4731.0,26306.0,8638.0,9731.0,5576.0,6956.0,19891.0,8040.0,18369.0
09 - 10,2025-08-22 10:00:00,1671.0,2025-08-22,2025-08-22 08:00:00,2025-08-21 07:32:55.930,7127.0,2030.0,1522.0,14237.0,30.0,2024-10-16 11:22:43.468000,0.0,5879.0,26306.0,10715.0,7413.0,6793.0,9044.0,19650.0,8050.0,18128.0
10 - 11,2025-08-22 11:00:00,1645.0,2025-08-22,2025-08-22 09:00:00,2025-08-21 07:32:55.930,8657.0,2541.0,1626.0,13858.0,30.0,2024-10-16 11:22:43.468000,0.0,6979.0,26306.0,12137.0,5872.0,7956.0,10492.0,19636.0,8064.0,18010.0
11 - 12,2025-08-22 12:00:00,1679.0,2025-08-22,2025-08-22 10:00:00,2025-08-21 07:32:55.930,9047.0,3092.0,1641.0,14137.0,30.0,2024-10-16 11:22:43.468000,0.0,7678.0,26306.0,12493.0,5432.0,8675.0,10814.0,19613.0,8087.0,17925.0
12 - 13,2025-08-22 13:00:00,1680.0,2025-08-22,2025-08-22 11:00:00,2025-08-21 07:32:55.930,8713.0,3651.0,1641.0,14335.0,30.0,2024-10-16 11:22:43.468000,0.0,8079.0,26306.0,13001.0,5219.0,9086.0,11321.0,19915.0,7785.0,18220.0
13 - 14,2025-08-22 14:00:00,1689.0,2025-08-22,2025-08-22 12:00:00,2025-08-21 07:32:55.930,8362.0,4149.0,1641.0,14635.0,30.0,2024-10-16 11:22:43.468000,0.0,8419.0,26306.0,13078.0,5178.0,9427.0,11389.0,19951.0,7749.0,18256.0
14 - 15,2025-08-22 15:00:00,1653.0,2025-08-22,2025-08-22 13:00:00,2025-08-21 07:32:55.930,7804.0,4615.0,1641.0,14584.0,30.0,2024-10-16 11:22:43.468000,0.0,8626.0,26306.0,13347.0,4907.0,9647.0,11694.0,19950.0,7748.0,18255.0
15 - 16,2025-08-22 16:00:00,1680.0,2025-08-22,2025-08-22 14:00:00,2025-08-21 07:32:55.930,6982.0,5036.0,1641.0,15296.0,30.0,2024-10-16 11:22:43.468000,0.0,8717.0,26306.0,12702.0,5558.0,9708.0,11022.0,19955.0,7743.0,18260.0
16 - 17,2025-08-22 17:00:00,1706.0,2025-08-22,2025-08-22 15:00:00,2025-08-21 07:32:55.930,5916.0,5189.0,1641.0,15380.0,30.0,2024-10-16 11:22:43.468000,0.0,8436.0,26306.0,12342.0,5923.0,9428.0,10636.0,19960.0,7738.0,18264.0
17 - 18,2025-08-22 18:00:00,1735.0,2025-08-22,2025-08-22 16:00:00,2025-08-21 07:32:55.930,4233.0,5025.0,1641.0,16507.0,30.0,2024-10-16 11:22:43.468000,0.0,7659.0,26306.0,10444.0,7871.0,8606.0,8709.0,19964.0,7710.0,18316.0
18 - 19,2025-08-22 19:00:00,1763.0,2025-08-22,2025-08-22 17:00:00,2025-08-21 07:32:55.930,2180.0,4600.0,1128.0,17701.0,30.0,2024-10-16 11:22:43.468000,0.0,6489.0,26306.0,8638.0,10299.0,7372.0,6875.0,20065.0,7699.0,18936.0
19 - 20,2025-08-22 20:00:00,1791.0,2025-08-22,2025-08-22 18:00:00,2025-08-21 07:32:55.930,638.0,4037.0,1055.0,18875.0,30.0,2024-10-16 11:22:43.468000,0.0,5323.0,26306.0,7499.0,12607.0,6238.0,5708.0,21161.0,7690.0,20106.0
20 - 21,2025-08-22 21:00:00,1813.0,2025-08-22,2025-08-22 19:00:00,2025-08-21 07:32:55.930,36.0,3712.0,132.0,19457.0,30.0,2024-10-16 11:22:43.468000,0.0,4794.0,26306.0,7528.0,13736.0,5690.0,5715.0,21396.0,7668.0,21264.0
21 - 22,2025-08-22 22:00:00,1725.0,2025-08-22,2025-08-22 20:00:00,2025-08-21 07:32:55.930,0.0,3664.0,0.0,18504.0,30.0,2024-10-16 11:22:43.468000,0.0,4691.0,26306.0,8221.0,12942.0,5532.0,6496.0,21162.0,7660.0,21162.0
22 - 23,2025-08-22 23:00:00,1570.0,2025-08-22,2025-08-22 21:00:00,2025-08-21 07:32:55.930,0.0,3729.0,0.0,16773.0,30.0,2024-10-01 03:51:19.304000,0.0,4702.0,0.0,8788.0,11227.0,5516.0,7218.0,20015.0,7655.0,20015.0
