period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-18 00:00:00,2000.0,2025-08-17,2025-08-17 22:00:00,2025-08-15 14:03:25.848,0.0,1897.0,0.0,13677.0,30.0,2024-10-01 03:51:19.304000,210.0,2778.0,0.0,11468.0,10024.0,3624.0,9468.0,21505.0,6885.0,21492.0
00 - 01,2025-08-18 01:00:00,1819.0,2025-08-18,2025-08-17 23:00:00,2025-08-15 14:03:25.848,0.0,1662.0,0.0,12381.0,30.0,2024-10-01 03:51:19.304000,210.0,2490.0,0.0,11459.0,9049.0,3302.0,9640.0,20510.0,7047.0,20509.0
01 - 02,2025-08-18 02:00:00,1751.0,2025-08-18,2025-08-18 00:00:00,2025-08-15 14:03:25.848,0.0,1477.0,0.0,12158.0,30.0,2024-10-01 03:51:19.304000,416.0,2285.0,0.0,11459.0,9056.0,3073.0,9708.0,20515.0,7070.0,20515.0
02 - 03,2025-08-18 03:00:00,1714.0,2025-08-18,2025-08-18 01:00:00,2025-08-15 14:03:25.848,0.0,1380.0,0.0,12058.0,30.0,2024-10-01 03:51:19.304000,416.0,2187.0,0.0,11459.0,9056.0,2972.0,9745.0,20515.0,7070.0,20515.0
03 - 04,2025-08-18 04:00:00,1711.0,2025-08-18,2025-08-18 02:00:00,2025-08-15 14:03:25.848,0.0,1377.0,0.0,12055.0,30.0,2024-10-01 03:51:19.304000,416.0,2185.0,0.0,11459.0,9056.0,2970.0,9749.0,20515.0,7070.0,20515.0
04 - 05,2025-08-18 05:00:00,1732.0,2025-08-18,2025-08-18 03:00:00,2025-08-15 14:03:25.848,0.0,1408.0,0.0,12086.0,30.0,2024-10-01 03:51:19.304000,416.0,2215.0,0.0,11459.0,9056.0,3000.0,9728.0,20515.0,7070.0,20515.0
05 - 06,2025-08-18 06:00:00,1837.0,2025-08-18,2025-08-18 04:00:00,2025-08-15 14:03:25.848,29.0,1330.0,0.0,12490.0,30.0,2024-10-01 03:51:19.304000,416.0,2173.0,0.0,10991.0,9524.0,2936.0,9155.0,20515.0,7070.0,20515.0
06 - 07,2025-08-18 07:00:00,2195.0,2025-08-18,2025-08-18 05:00:00,2025-08-15 14:03:25.848,594.0,1078.0,1152.0,14730.0,30.0,2024-10-01 03:51:19.304000,416.0,2284.0,0.0,7665.0,11729.0,2971.0,5470.0,20545.0,7097.0,19393.0
07 - 08,2025-08-18 08:00:00,2448.0,2025-08-18,2025-08-18 06:00:00,2025-08-15 14:03:25.848,2230.0,828.0,1316.0,15627.0,30.0,2024-10-16 11:22:43.468000,416.0,2757.0,26295.0,7283.0,12190.0,3407.0,4835.0,20789.0,7131.0,19473.0
08 - 09,2025-08-18 09:00:00,2529.0,2025-08-18,2025-08-18 07:00:00,2025-08-15 14:03:25.848,4465.0,692.0,1316.0,14951.0,30.0,2024-10-16 11:22:43.468000,416.0,3540.0,26295.0,8521.0,10678.0,4243.0,5992.0,20515.0,7133.0,19199.0
09 - 10,2025-08-18 10:00:00,2517.0,2025-08-18,2025-08-18 08:00:00,2025-08-15 14:03:25.848,6478.0,709.0,1316.0,13738.0,30.0,2024-10-16 11:22:43.468000,416.0,4324.0,26295.0,10599.0,8600.0,5108.0,8082.0,20515.0,7133.0,19199.0
10 - 11,2025-08-18 11:00:00,2463.0,2025-08-18,2025-08-18 09:00:00,2025-08-15 14:03:25.848,7746.0,783.0,1316.0,13455.0,30.0,2024-10-16 11:22:43.468000,416.0,4890.0,26295.0,11459.0,7740.0,5685.0,8996.0,20515.0,7133.0,19199.0
11 - 12,2025-08-18 12:00:00,2504.0,2025-08-18,2025-08-18 10:00:00,2025-08-15 14:03:25.848,8120.0,809.0,1316.0,13636.0,30.0,2024-10-16 11:22:43.468000,416.0,5076.0,26295.0,11459.0,7740.0,5866.0,8956.0,20515.0,7133.0,19199.0
12 - 13,2025-08-18 13:00:00,2509.0,2025-08-18,2025-08-18 11:00:00,2025-08-15 14:03:25.848,8193.0,790.0,1316.0,13648.0,30.0,2024-10-16 11:22:43.468000,416.0,5089.0,26295.0,11459.0,7740.0,5879.0,8951.0,20515.0,7133.0,19199.0
13 - 14,2025-08-18 14:00:00,2504.0,2025-08-18,2025-08-18 12:00:00,2025-08-15 14:03:25.848,8262.0,773.0,1316.0,13660.0,30.0,2024-10-16 11:22:43.468000,416.0,5101.0,26295.0,11459.0,7740.0,5891.0,8955.0,20515.0,7133.0,19199.0
14 - 15,2025-08-18 15:00:00,2496.0,2025-08-18,2025-08-18 13:00:00,2025-08-15 14:03:25.848,7932.0,784.0,1316.0,13524.0,30.0,2024-10-16 11:22:43.468000,416.0,4966.0,26295.0,11459.0,7740.0,5754.0,8964.0,20515.0,7102.0,19199.0
15 - 16,2025-08-18 16:00:00,2509.0,2025-08-18,2025-08-18 14:00:00,2025-08-15 14:03:25.848,7206.0,803.0,1316.0,13274.0,30.0,2024-10-16 11:22:43.468000,416.0,4671.0,26295.0,11416.0,7783.0,5461.0,8907.0,20515.0,7097.0,19199.0
16 - 17,2025-08-18 17:00:00,2556.0,2025-08-18,2025-08-18 15:00:00,2025-08-15 14:03:25.848,6090.0,806.0,1303.0,14233.0,30.0,2024-10-16 11:22:43.468000,416.0,4267.0,26295.0,10005.0,9194.0,5009.0,7449.0,20515.0,7097.0,19199.0
17 - 18,2025-08-18 18:00:00,2634.0,2025-08-18,2025-08-18 16:00:00,2025-08-15 14:03:25.848,4440.0,735.0,1303.0,15711.0,30.0,2024-10-16 11:22:43.468000,416.0,3644.0,26295.0,7888.0,11311.0,4371.0,5254.0,20515.0,7097.0,19199.0
18 - 19,2025-08-18 19:00:00,2731.0,2025-08-18,2025-08-18 17:00:00,2025-08-15 14:03:25.848,2535.0,619.0,1303.0,17472.0,30.0,2024-10-16 11:22:43.468000,416.0,2809.0,26295.0,6814.0,13923.0,3519.0,4083.0,22053.0,6712.0,20737.0
19 - 20,2025-08-18 20:00:00,2768.0,2025-08-18,2025-08-18 18:00:00,2025-08-15 14:03:25.848,900.0,548.0,1303.0,18649.0,30.0,2024-10-16 11:22:43.468000,416.0,2138.0,26295.0,5264.0,15735.0,2884.0,2496.0,22315.0,6656.0,20999.0
