period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-18 00:00:00,1286.0,2025-08-17,2025-08-17 22:00:00,2025-08-16 07:23:25.585,0.0,1898.0,0.0,13672.0,30.0,2024-10-01 03:51:19.304000,210.0,2776.0,0.0,11279.0,10018.0,3625.0,9993.0,21310.0,7080.0,21297.0
00 - 01,2025-08-18 01:00:00,1819.0,2025-08-18,2025-08-17 23:00:00,2025-08-16 07:13:25.829,0.0,1695.0,0.0,12376.0,30.0,2024-10-01 03:51:19.304000,210.0,2519.0,0.0,11585.0,9011.0,3335.0,9766.0,20609.0,7071.0,20596.0
01 - 02,2025-08-18 02:00:00,1751.0,2025-08-18,2025-08-18 00:00:00,2025-08-16 07:23:25.585,0.0,1498.0,2.0,12125.0,30.0,2024-10-01 03:51:19.304000,210.0,2301.0,0.0,11609.0,9001.0,3094.0,9858.0,20612.0,7070.0,20611.0
02 - 03,2025-08-18 03:00:00,1714.0,2025-08-18,2025-08-18 01:00:00,2025-08-16 07:23:25.585,0.0,1384.0,0.0,12009.0,30.0,2024-10-01 03:51:19.304000,210.0,2186.0,0.0,11609.0,9003.0,2976.0,9895.0,20612.0,7070.0,20612.0
03 - 04,2025-08-18 04:00:00,1711.0,2025-08-18,2025-08-18 02:00:00,2025-08-16 07:23:25.585,0.0,1340.0,0.0,11965.0,30.0,2024-10-01 03:51:19.304000,210.0,2142.0,0.0,11609.0,9003.0,2932.0,9899.0,20612.0,7070.0,20612.0
04 - 05,2025-08-18 05:00:00,1732.0,2025-08-18,2025-08-18 03:00:00,2025-08-16 07:23:25.585,0.0,1291.0,0.0,11916.0,30.0,2024-10-01 03:51:19.304000,210.0,2093.0,0.0,11609.0,9003.0,2883.0,9878.0,20612.0,7070.0,20612.0
05 - 06,2025-08-18 06:00:00,1837.0,2025-08-18,2025-08-18 04:00:00,2025-08-16 07:23:25.585,21.0,1237.0,0.0,12490.0,30.0,2024-10-01 03:51:19.304000,210.0,2079.0,0.0,10992.0,9620.0,2840.0,9156.0,20612.0,7070.0,20612.0
06 - 07,2025-08-18 07:00:00,2195.0,2025-08-18,2025-08-18 05:00:00,2025-08-16 07:23:25.585,586.0,1066.0,1152.0,14729.0,30.0,2024-10-01 03:51:19.304000,210.0,2267.0,0.0,7747.0,11743.0,2956.0,5553.0,20642.0,7094.0,19491.0
07 - 08,2025-08-18 08:00:00,2448.0,2025-08-18,2025-08-18 06:00:00,2025-08-16 07:23:25.585,2301.0,813.0,1316.0,15582.0,30.0,2024-10-16 11:22:43.468000,210.0,2767.0,26295.0,7442.0,12129.0,3423.0,4994.0,20887.0,7127.0,19571.0
08 - 09,2025-08-18 09:00:00,2529.0,2025-08-18,2025-08-18 07:00:00,2025-08-16 07:23:25.585,4682.0,632.0,1316.0,14825.0,30.0,2024-10-16 11:22:43.468000,210.0,3565.0,26295.0,8780.0,10516.0,4279.0,6251.0,20612.0,7133.0,19296.0
09 - 10,2025-08-18 10:00:00,2517.0,2025-08-18,2025-08-18 08:00:00,2025-08-16 07:23:25.585,6745.0,683.0,1316.0,13584.0,30.0,2024-10-16 11:22:43.468000,210.0,4401.0,26295.0,10942.0,8354.0,5199.0,8425.0,20612.0,7133.0,19296.0
10 - 11,2025-08-18 11:00:00,2463.0,2025-08-18,2025-08-18 09:00:00,2025-08-16 07:23:25.585,7936.0,758.0,1316.0,13460.0,30.0,2024-10-16 11:22:43.468000,210.0,4943.0,26295.0,11609.0,7687.0,5744.0,9146.0,20612.0,7133.0,19296.0
11 - 12,2025-08-18 12:00:00,2504.0,2025-08-18,2025-08-18 10:00:00,2025-08-16 07:23:25.585,8360.0,782.0,1316.0,13661.0,30.0,2024-10-16 11:22:43.468000,210.0,5149.0,26295.0,11609.0,7687.0,5945.0,9106.0,20612.0,7133.0,19296.0
12 - 13,2025-08-18 13:00:00,2509.0,2025-08-18,2025-08-18 11:00:00,2025-08-16 07:23:25.585,8475.0,786.0,1316.0,13715.0,30.0,2024-10-16 11:22:43.468000,210.0,5203.0,26295.0,11609.0,7687.0,5998.0,9101.0,20612.0,7133.0,19296.0
13 - 14,2025-08-18 14:00:00,2504.0,2025-08-18,2025-08-18 12:00:00,2025-08-16 07:23:25.585,8377.0,786.0,1316.0,13672.0,30.0,2024-10-16 11:22:43.468000,210.0,5160.0,26295.0,11609.0,7687.0,5955.0,9105.0,20612.0,7133.0,19296.0
14 - 15,2025-08-18 15:00:00,2496.0,2025-08-18,2025-08-18 13:00:00,2025-08-16 07:23:25.585,7963.0,794.0,1316.0,13495.0,30.0,2024-10-16 11:22:43.468000,210.0,4985.0,26295.0,11609.0,7687.0,5778.0,9114.0,20612.0,7102.0,19296.0
15 - 16,2025-08-18 16:00:00,2509.0,2025-08-18,2025-08-18 14:00:00,2025-08-16 07:23:25.585,7307.0,793.0,1316.0,13212.0,30.0,2024-10-16 11:22:43.468000,210.0,4698.0,26295.0,11609.0,7687.0,5496.0,9101.0,20612.0,7097.0,19296.0
16 - 17,2025-08-18 17:00:00,2556.0,2025-08-18,2025-08-18 15:00:00,2025-08-16 07:23:25.585,6270.0,777.0,1303.0,14127.0,30.0,2024-10-16 11:22:43.468000,210.0,4307.0,26295.0,10259.0,9037.0,5060.0,7703.0,20612.0,7097.0,19296.0
17 - 18,2025-08-18 18:00:00,2634.0,2025-08-18,2025-08-18 16:00:00,2025-08-16 07:23:25.585,4628.0,720.0,1303.0,15601.0,30.0,2024-10-16 11:22:43.468000,210.0,3701.0,26295.0,8165.0,11131.0,4439.0,5531.0,20612.0,7097.0,19296.0
18 - 19,2025-08-18 19:00:00,2731.0,2025-08-18,2025-08-18 17:00:00,2025-08-16 07:23:25.585,2562.0,591.0,1303.0,17452.0,30.0,2024-10-16 11:22:43.468000,210.0,2790.0,26295.0,6916.0,13918.0,3503.0,4184.0,22150.0,6712.0,20834.0
19 - 20,2025-08-18 20:00:00,2768.0,2025-08-18,2025-08-18 18:00:00,2025-08-16 07:23:25.585,873.0,502.0,1303.0,18659.0,30.0,2024-10-16 11:22:43.468000,210.0,2081.0,26295.0,5293.0,15803.0,2826.0,2526.0,22412.0,6656.0,21096.0
20 - 21,2025-08-18 21:00:00,2770.0,2025-08-18,2025-08-18 19:00:00,2025-08-16 07:23:25.585,63.0,472.0,380.0,19132.0,30.0,2024-10-16 11:22:43.468000,210.0,1752.0,26295.0,5170.0,16642.0,2460.0,2399.0,22205.0,6656.0,21812.0
21 - 22,2025-08-18 22:00:00,2671.0,2025-08-18,2025-08-18 20:00:00,2025-08-16 07:23:25.585,1.0,430.0,248.0,18455.0,30.0,2024-10-16 11:22:43.468000,210.0,1647.0,26295.0,5848.0,16096.0,2328.0,3177.0,22205.0,6656.0,21944.0
22 - 23,2025-08-18 23:00:00,2456.0,2025-08-18,2025-08-18 21:00:00,2025-08-16 07:13:25.829,0.0,392.0,248.0,16924.0,30.0,2024-10-01 03:51:19.304000,210.0,1534.0,0.0,6816.0,14701.0,2194.0,4360.0,21778.0,6656.0,21517.0
