period,plan_dtime,req_pow_res,business_date,plan_dtime_utc,publication_ts,fcst_pv_tot_gen,fcst_wi_tot_gen,fcst_unav_energy,grid_demand_fcst,planned_exchange,publication_ts_utc,sum_unav_oper_cond,pred_gen_res_not_cov,cap_market_obligation,surplus_cap_avail_tso,fcst_gen_unit_stor_prov,fcst_gen_unit_stor_non_prov,gen_surplus_avail_tso_above,avail_cap_gen_units_stor_prov,planned_restr_mwe_avail_shutdown,avail_cap_gen_units_stor_prov_tso
23 - 24,2025-08-10 00:00:00,1768.0,2025-08-09,2025-08-09 22:00:00,2025-08-08 02:22:55.490,0.0,1993.0,0.0,14512.0,12.0,2024-10-01 03:51:19.304000,0.0,2988.0,0.0,9242.0,10779.0,3721.0,7474.0,20022.0,7904.0,20022.0
00 - 01,2025-08-10 01:00:00,1893.0,2025-08-10,2025-08-09 23:00:00,2025-08-08 02:22:55.490,0.0,2238.0,0.0,13020.0,30.0,2024-10-01 03:51:19.304000,0.0,3120.0,0.0,11258.0,9072.0,3918.0,9365.0,20329.0,7871.0,20329.0
01 - 02,2025-08-10 02:00:00,1782.0,2025-08-10,2025-08-10 00:00:00,2025-08-08 02:22:55.490,0.0,2497.0,0.0,12226.0,30.0,2024-10-01 03:51:19.304000,0.0,3318.0,0.0,12210.0,8051.0,4145.0,10428.0,20261.0,7866.0,20261.0
02 - 03,2025-08-10 03:00:00,1733.0,2025-08-10,2025-08-10 01:00:00,2025-08-08 02:22:55.490,0.0,2662.0,0.0,11876.0,30.0,2024-10-01 03:51:19.304000,0.0,3460.0,0.0,12623.0,7540.0,4305.0,10890.0,20163.0,7866.0,20163.0
03 - 04,2025-08-10 04:00:00,1698.0,2025-08-10,2025-08-10 02:00:00,2025-08-08 02:22:55.490,0.0,2775.0,0.0,11626.0,30.0,2024-10-01 03:51:19.304000,0.0,3560.0,0.0,12883.0,7177.0,4419.0,11185.0,20060.0,7866.0,20060.0
04 - 05,2025-08-10 05:00:00,1668.0,2025-08-10,2025-08-10 03:00:00,2025-08-08 02:22:55.490,0.0,2944.0,0.0,11414.0,30.0,2024-10-01 03:51:19.304000,0.0,3711.0,0.0,13264.0,6796.0,4588.0,11596.0,20060.0,7866.0,20060.0
05 - 06,2025-08-10 06:00:00,1649.0,2025-08-10,2025-08-10 04:00:00,2025-08-08 02:22:55.490,63.0,3007.0,0.0,11241.0,30.0,2024-10-01 03:51:19.304000,0.0,3787.0,0.0,13526.0,6534.0,4677.0,11877.0,20060.0,7866.0,20060.0
06 - 07,2025-08-10 07:00:00,1703.0,2025-08-10,2025-08-10 05:00:00,2025-08-08 02:22:55.490,643.0,2868.0,923.0,11304.0,30.0,2024-10-01 03:51:19.304000,0.0,3882.0,0.0,12617.0,6520.0,4754.0,10914.0,20060.0,7866.0,19137.0
07 - 08,2025-08-10 08:00:00,1827.0,2025-08-10,2025-08-10 06:00:00,2025-08-08 02:22:55.490,2173.0,2710.0,1055.0,11334.0,30.0,2024-10-01 03:51:19.304000,0.0,4364.0,0.0,12952.0,6053.0,5252.0,11125.0,20060.0,7866.0,19005.0
08 - 09,2025-08-10 09:00:00,1938.0,2025-08-10,2025-08-10 07:00:00,2025-08-08 02:22:55.490,4309.0,2611.0,1055.0,10932.0,30.0,2024-10-01 03:51:19.304000,0.0,5141.0,0.0,14185.0,4819.0,6082.0,12247.0,20060.0,7868.0,19005.0
09 - 10,2025-08-10 10:00:00,2011.0,2025-08-10,2025-08-10 08:00:00,2025-08-08 02:22:55.490,6209.0,2814.0,1055.0,10714.0,30.0,2024-10-01 03:51:19.304000,0.0,6105.0,0.0,15403.0,3602.0,7082.0,13392.0,20060.0,7868.0,19005.0
10 - 11,2025-08-10 11:00:00,2050.0,2025-08-10,2025-08-10 09:00:00,2025-08-08 02:22:55.490,7342.0,3209.0,1055.0,10435.0,30.0,2024-10-01 03:51:19.304000,0.0,6938.0,0.0,16562.0,2443.0,7962.0,14512.0,20060.0,7868.0,19005.0
11 - 12,2025-08-10 12:00:00,2048.0,2025-08-10,2025-08-10 10:00:00,2025-08-08 02:22:55.490,7708.0,3767.0,1055.0,11017.0,30.0,2024-10-01 03:51:19.304000,0.0,7650.0,0.0,16697.0,2308.0,8679.0,14649.0,20060.0,7868.0,19005.0
12 - 13,2025-08-10 13:00:00,2047.0,2025-08-10,2025-08-10 11:00:00,2025-08-08 02:22:55.490,7708.0,4286.0,1055.0,11009.0,30.0,2024-10-01 03:51:19.304000,0.0,8142.0,0.0,17225.0,1780.0,9199.0,15178.0,20060.0,7868.0,19005.0
13 - 14,2025-08-10 14:00:00,2047.0,2025-08-10,2025-08-10 12:00:00,2025-08-08 02:22:55.490,7513.0,4820.0,1055.0,11119.0,30.0,2024-10-01 03:51:19.304000,0.0,8574.0,0.0,17565.0,1440.0,9649.0,15518.0,20060.0,7868.0,19005.0
14 - 15,2025-08-10 15:00:00,2063.0,2025-08-10,2025-08-10 13:00:00,2025-08-08 02:22:55.490,7237.0,5225.0,1055.0,11401.0,30.0,2024-10-01 03:51:19.304000,0.0,8856.0,0.0,17565.0,1440.0,9931.0,15501.0,20060.0,7868.0,19005.0
15 - 16,2025-08-10 16:00:00,2097.0,2025-08-10,2025-08-10 14:00:00,2025-08-08 02:22:55.490,6905.0,5490.0,1055.0,11814.0,30.0,2024-10-01 03:51:19.304000,0.0,8990.0,0.0,17271.0,1734.0,10051.0,15175.0,20060.0,7868.0,19005.0
16 - 17,2025-08-10 17:00:00,2144.0,2025-08-10,2025-08-10 15:00:00,2025-08-08 02:22:55.490,6238.0,5579.0,1055.0,12404.0,30.0,2024-10-01 03:51:19.304000,0.0,8829.0,0.0,16492.0,2512.0,9861.0,14348.0,20060.0,7868.0,19005.0
17 - 18,2025-08-10 18:00:00,2246.0,2025-08-10,2025-08-10 16:00:00,2025-08-08 02:22:55.490,5137.0,5393.0,1055.0,12935.0,30.0,2024-10-01 03:51:19.304000,0.0,8238.0,0.0,15356.0,3649.0,9255.0,13109.0,20060.0,7868.0,19005.0
18 - 19,2025-08-10 19:00:00,2319.0,2025-08-10,2025-08-10 17:00:00,2025-08-08 02:22:55.490,3327.0,4844.0,1055.0,14199.0,30.0,2024-10-01 03:51:19.304000,0.0,7063.0,0.0,12858.0,6147.0,8022.0,10539.0,20060.0,7866.0,19005.0
19 - 20,2025-08-10 20:00:00,2343.0,2025-08-10,2025-08-10 18:00:00,2025-08-08 02:22:55.490,1258.0,4141.0,1055.0,15533.0,30.0,2024-10-01 03:51:19.304000,0.0,5566.0,0.0,11152.0,9004.0,6498.0,8809.0,21212.0,7866.0,20157.0
