dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par,suma_oze
2024-10-30 00:15:00,0.0,1912.0,00:00 - 00:15,,,9976.0,2024-10-29 23:15:00,2213.0,23:00 - 23:15,16050.0,,,2024-10-30,0.0,,10429.0,,,,,2024-10-30 23:36:55.762,5099.0,63.0,55.0,,16903.0,,,,,5349.0,2024-10-30 22:36:55.762,10429.0,16958.0,-395.0,700.0,1912.0
2024-10-30 00:30:00,0.0,1981.0,00:15 - 00:30,,,10106.0,2024-10-29 23:30:00,1993.0,23:15 - 23:30,15900.0,,,2024-10-30,0.0,,10209.0,,,,,2024-10-30 23:36:55.762,5319.0,63.0,55.0,,16773.0,,,,,5419.0,2024-10-30 22:36:55.762,10209.0,16828.0,-395.0,700.0,1981.0
2024-10-30 00:45:00,0.0,1853.0,00:30 - 00:45,,,10063.0,2024-10-29 23:45:00,2088.0,23:30 - 23:45,15750.0,,,2024-10-30,0.0,,10187.0,,,,,2024-10-30 23:36:55.762,5117.0,63.0,55.0,,16816.0,,,,,5291.0,2024-10-30 22:36:55.762,10187.0,16871.0,-395.0,700.0,1853.0
2024-10-30 01:00:00,0.0,1914.0,00:45 - 01:00,,,9996.0,2024-10-30 00:00:00,1909.0,23:45 - 24:00,15550.0,,,2024-10-30,0.0,,10008.0,,,,,2024-10-30 23:36:55.762,5296.0,95.0,85.0,,16852.0,,,,,5352.0,2024-10-30 22:36:55.762,10008.0,16938.0,-395.0,650.0,1914.0
2024-10-30 01:15:00,0.0,1988.0,01:00 - 01:15,,,9890.0,2024-10-30 00:15:00,2529.0,00:00 - 00:15,15350.0,,,2024-10-30,0.0,,10628.0,,,,,2024-10-30 23:36:55.762,4676.0,159.0,140.0,,16903.0,,,,,5365.0,2024-10-30 22:36:55.762,10628.0,17043.0,-1214.0,700.0,1988.0
2024-10-30 01:30:00,0.0,2074.0,01:15 - 01:30,,,9849.0,2024-10-30 00:30:00,2344.0,00:15 - 00:30,15250.0,,,2024-10-30,0.0,,10443.0,,,,,2024-10-30 23:36:55.762,4861.0,159.0,140.0,,16945.0,,,,,5450.0,2024-10-30 22:36:55.762,10443.0,17085.0,-1214.0,700.0,2074.0
2024-10-30 01:45:00,0.0,2172.0,01:30 - 01:45,,,9826.0,2024-10-30 00:45:00,2147.0,00:30 - 00:45,15150.0,,,2024-10-30,0.0,,10246.0,,,,,2024-10-30 23:36:55.762,5058.0,159.0,140.0,,16967.0,,,,,5547.0,2024-10-30 22:36:55.762,10246.0,17108.0,-1214.0,700.0,2172.0
2024-10-30 02:00:00,0.0,2219.0,01:45 - 02:00,,,9625.0,2024-10-30 01:00:00,2158.0,00:45 - 01:00,15000.0,,,2024-10-30,0.0,,10257.0,,,,,2024-10-30 23:36:55.762,5047.0,368.0,318.0,,16990.0,,,,,5595.0,2024-10-30 22:36:55.762,10257.0,17309.0,-1214.0,700.0,2219.0
2024-10-30 02:15:00,0.0,2312.0,02:00 - 02:15,,,9570.0,2024-10-30 01:15:00,2340.0,01:00 - 01:15,14950.0,,,2024-10-30,0.0,,10439.0,,,,,2024-10-30 23:36:55.762,4865.0,368.0,318.0,,17046.0,,,,,5681.0,2024-10-30 22:36:55.762,10439.0,17364.0,-1532.0,700.0,2312.0
2024-10-30 02:30:00,0.0,2327.0,02:15 - 02:30,,,9903.0,2024-10-30 01:30:00,2325.0,01:15 - 01:30,14950.0,,,2024-10-30,0.0,,10424.0,,,,,2024-10-30 23:36:55.762,4880.0,368.0,318.0,,16712.0,,,,,5696.0,2024-10-30 22:36:55.762,10424.0,17031.0,-1532.0,700.0,2327.0
2024-10-30 02:45:00,0.0,2418.0,02:30 - 02:45,,,9613.0,2024-10-30 01:45:00,2234.0,01:30 - 01:45,14950.0,,,2024-10-30,0.0,,10333.0,,,,,2024-10-30 23:36:55.762,4971.0,368.0,318.0,,17003.0,,,,,5787.0,2024-10-30 22:36:55.762,10333.0,17321.0,-1532.0,700.0,2418.0
2024-10-30 03:00:00,0.0,2553.0,02:45 - 03:00,,,9363.0,2024-10-30 02:00:00,1999.0,01:45 - 02:00,14850.0,,,2024-10-30,0.0,,10098.0,,,,,2024-10-30 23:36:55.762,5206.0,368.0,318.0,,17253.0,,,,,5922.0,2024-10-30 22:36:55.762,10098.0,17571.0,-1532.0,700.0,2553.0
2024-10-30 03:15:00,0.0,2619.0,03:00 - 03:15,,,9266.0,2024-10-30 02:15:00,2054.0,02:00 - 02:15,14850.0,,,2024-10-30,0.0,,10163.0,,,,,2024-10-30 23:36:55.762,5141.0,368.0,318.0,,17349.0,,,,,5985.0,2024-10-30 22:36:55.762,10163.0,17668.0,-1640.0,690.0,2619.0
2024-10-30 03:30:00,0.0,2673.0,03:15 - 03:30,,,9418.0,2024-10-30 02:30:00,2090.0,02:15 - 02:30,14950.0,,,2024-10-30,0.0,,10199.0,,,,,2024-10-30 23:36:55.762,5105.0,368.0,368.0,,17147.0,,,,,6039.0,2024-10-30 22:36:55.762,10199.0,17515.0,-1640.0,690.0,2673.0
2024-10-30 03:45:00,0.0,2737.0,03:30 - 03:45,,,9347.0,2024-10-30 02:45:00,2227.0,02:30 - 02:45,15150.0,,,2024-10-30,0.0,,10336.0,,,,,2024-10-30 23:36:55.762,4968.0,368.0,368.0,,17219.0,,,,,6102.0,2024-10-30 22:36:55.762,10336.0,17587.0,-1640.0,690.0,2737.0
2024-10-30 04:00:00,0.0,2826.0,03:45 - 04:00,,,9233.0,2024-10-30 03:00:00,2188.0,02:45 - 03:00,15200.0,,,2024-10-30,0.0,,10297.0,,,,,2024-10-30 23:36:55.762,5007.0,368.0,368.0,,17333.0,,,,,6191.0,2024-10-30 22:36:55.762,10297.0,17701.0,-1640.0,690.0,2826.0
