dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par,suma_oze
2025-04-07 00:15:00,0.0,2169.0,00:00 - 00:15,,,14203.0,2025-04-06 22:15:00,1857.0,22:00 - 22:15,15000.0,,,2025-04-07,0.0,,7992.0,,,,,2025-04-07 22:26:15.384,3002.0,0.0,923.0,,11213.0,,,,,6385.0,2025-04-07 20:26:15.384,7992.0,12136.0,-20.0,600.0,2169.0
2025-04-07 00:30:00,0.0,2226.0,00:15 - 00:30,,,14135.0,2025-04-06 22:30:00,1641.0,22:15 - 22:30,14800.0,,,2025-04-07,0.0,,7776.0,,,,,2025-04-07 22:26:15.384,3228.0,0.0,947.0,,11257.0,,,,,6437.0,2025-04-07 20:26:15.384,7776.0,12204.0,-56.0,600.0,2226.0
2025-04-07 00:45:00,0.0,2217.0,00:30 - 00:45,,,14043.0,2025-04-06 22:45:00,1688.0,22:30 - 22:45,14800.0,,,2025-04-07,0.0,,7823.0,,,,,2025-04-07 22:26:15.384,3181.0,0.0,923.0,,11372.0,,,,,6428.0,2025-04-07 20:26:15.384,7823.0,12295.0,-94.0,600.0,2217.0
2025-04-07 01:00:00,0.0,2234.0,00:45 - 01:00,,,14234.0,2025-04-06 23:00:00,1353.0,22:45 - 23:00,14450.0,,,2025-04-07,0.0,,7462.0,,,,,2025-04-07 22:26:15.384,3542.0,0.0,947.0,,11158.0,,,,,6445.0,2025-04-07 20:26:15.384,7462.0,12104.0,-100.0,600.0,2234.0
2025-04-07 01:15:00,0.0,2246.0,01:00 - 01:15,,,14193.0,2025-04-06 23:15:00,1093.0,23:00 - 23:15,14250.0,,,2025-04-07,0.0,,7220.0,,,,,2025-04-07 22:26:15.384,3784.0,0.0,923.0,,11223.0,,,,,6478.0,2025-04-07 20:26:15.384,7220.0,12146.0,-91.0,600.0,2246.0
2025-04-07 01:30:00,0.0,2194.0,01:15 - 01:30,,,14135.0,2025-04-06 23:30:00,969.0,23:15 - 23:30,14200.0,,,2025-04-07,0.0,,7117.0,,,,,2025-04-07 22:26:15.384,3887.0,0.0,947.0,,11257.0,,,,,6426.0,2025-04-07 20:26:15.384,7117.0,12204.0,14.0,600.0,2194.0
2025-04-07 01:45:00,0.0,2124.0,01:30 - 01:45,,,13984.0,2025-04-06 23:45:00,908.0,23:30 - 23:45,14150.0,,,2025-04-07,0.0,,7147.0,,,,,2025-04-07 22:26:15.384,3916.0,0.0,923.0,,11431.0,,,,,6357.0,2025-04-07 20:26:15.384,7147.0,12354.0,3.0,600.0,2124.0
2025-04-07 02:00:00,0.0,2070.0,01:45 - 02:00,,,14199.0,2025-04-07 00:00:00,926.0,23:45 - 24:00,14100.0,,,2025-04-07,0.0,,7170.0,,,,,2025-04-07 22:26:15.384,3893.0,0.0,923.0,,11217.0,,,,,6301.0,2025-04-07 20:26:15.384,7170.0,12140.0,-14.0,600.0,2070.0
2025-04-07 02:15:00,0.0,2008.0,02:00 - 02:15,,,14110.0,2025-04-07 00:15:00,1347.0,00:00 - 00:15,14250.0,,,2025-04-07,0.0,,7591.0,,,,,2025-04-07 22:26:15.384,3472.0,0.0,947.0,,11282.0,,,,,6236.0,2025-04-07 20:26:15.384,7591.0,12229.0,-221.0,600.0,2008.0
2025-04-07 02:30:00,0.0,1959.0,02:15 - 02:30,,,14094.0,2025-04-07 00:30:00,1330.0,00:15 - 00:30,14200.0,,,2025-04-07,0.0,,7580.0,,,,,2025-04-07 22:26:15.384,3489.0,0.0,923.0,,11322.0,,,,,6186.0,2025-04-07 20:26:15.384,7580.0,12245.0,-209.0,600.0,1959.0
