dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par,suma_oze
2025-01-09 00:15:00,0.0,4219.0,00:00 - 00:15,,,9520.0,2025-01-08 23:15:00,1149.0,23:00 - 23:15,16650.0,,,2025-01-09,0.0,,9210.0,,,,,2025-01-09 23:56:00.395,6135.0,406.0,648.0,,16171.0,,,,,8833.0,2025-01-09 22:56:00.395,9210.0,16819.0,-1291.0,600.0,4219.0
2025-01-09 00:30:00,0.0,4113.0,00:15 - 00:30,,,9296.0,2025-01-08 23:30:00,1254.0,23:15 - 23:30,16450.0,,,2025-01-09,0.0,,9351.0,,,,,2025-01-09 23:56:00.395,6047.0,636.0,730.0,,16312.0,,,,,8728.0,2025-01-09 22:56:00.395,9351.0,17042.0,-1291.0,600.0,4113.0
2025-01-09 00:45:00,0.0,4145.0,00:30 - 00:45,,,8947.0,2025-01-08 23:45:00,1152.0,23:30 - 23:45,16650.0,,,2025-01-09,0.0,,9277.0,,,,,2025-01-09 23:56:00.395,6149.0,636.0,968.0,,16423.0,,,,,8761.0,2025-01-09 22:56:00.395,9277.0,17392.0,-1291.0,600.0,4145.0
2025-01-09 01:00:00,0.0,4054.0,00:45 - 01:00,,,8791.0,2025-01-09 00:00:00,1314.0,23:45 - 24:00,16750.0,,,2025-01-09,0.0,,9465.0,,,,,2025-01-09 23:56:00.395,5987.0,636.0,1095.0,,16452.0,,,,,8673.0,2025-01-09 22:56:00.395,9465.0,17548.0,-1291.0,600.0,4054.0
2025-01-09 01:15:00,0.0,4018.0,01:00 - 01:15,,,8600.0,2025-01-09 00:15:00,2008.0,00:00 - 00:15,16600.0,,,2025-01-09,0.0,,9759.0,,,,,2025-01-09 23:56:00.395,4949.0,636.0,1151.0,,16588.0,,,,,8619.0,2025-01-09 22:56:00.395,9759.0,17739.0,-1731.0,650.0,4018.0
2025-01-09 01:30:00,0.0,3756.0,01:15 - 01:30,,,8393.0,2025-01-09 00:30:00,2441.0,00:15 - 00:30,16800.0,,,2025-01-09,0.0,,10221.0,,,,,2025-01-09 23:56:00.395,4516.0,636.0,1219.0,,16727.0,,,,,8357.0,2025-01-09 22:56:00.395,10221.0,17945.0,-1731.0,650.0,3756.0
2025-01-09 01:45:00,0.0,3557.0,01:30 - 01:45,,,8426.0,2025-01-09 00:45:00,2287.0,00:30 - 00:45,16600.0,,,2025-01-09,0.0,,10086.0,,,,,2025-01-09 23:56:00.395,4670.0,502.0,1076.0,,16837.0,,,,,8158.0,2025-01-09 22:56:00.395,10086.0,17913.0,-1731.0,650.0,3557.0
2025-01-09 02:00:00,0.0,3511.0,01:45 - 02:00,,,9098.0,2025-01-09 01:00:00,2010.0,00:45 - 01:00,16300.0,,,2025-01-09,0.0,,9832.0,,,,,2025-01-09 23:56:00.395,4981.0,502.0,1142.0,,16099.0,,,,,8112.0,2025-01-09 22:56:00.395,9832.0,17240.0,-1731.0,650.0,3511.0
2025-01-09 02:15:00,0.0,3380.0,02:00 - 02:15,,,8892.0,2025-01-09 01:15:00,2019.0,01:00 - 01:15,16250.0,,,2025-01-09,0.0,,9863.0,,,,,2025-01-09 23:56:00.395,5008.0,502.0,1246.0,,16201.0,,,,,7979.0,2025-01-09 22:56:00.395,9863.0,17446.0,-1676.0,650.0,3380.0
2025-01-09 02:30:00,0.0,3242.0,02:15 - 02:30,,,8892.0,2025-01-09 01:30:00,2115.0,01:15 - 01:30,16250.0,,,2025-01-09,0.0,,10001.0,,,,,2025-01-09 23:56:00.395,4915.0,502.0,1174.0,,16273.0,,,,,7841.0,2025-01-09 22:56:00.395,10001.0,17447.0,-1676.0,650.0,3242.0
