dtime,gen_fv,gen_wi,period,gen_jga,gen_jgo,ogr_mwe,dtime_utc,rez_under,period_utc,kse_pow_dem,capacity_jga,capacity_jgo,business_date,gen_jgm_zak_1,gen_jgm_zak_2,gen_jgw_zak_1,gen_jgw_zak_2,gen_jgz_zak_1,gen_jgz_zak_2,gen_jgz_zak_3,publication_ts,rez_over_demand,tot_jgm_char_pow,capacity_jgm_zak_1,capacity_jgm_zak_2,capacity_jgw_zak_1,capacity_jgw_zak_2,capacity_jgz_zak_1,capacity_jgz_zak_2,capacity_jgz_zak_3,gen_not_activ_part,publication_ts_utc,gen_jgw_jgm_jgz_jga,capacity_jgw_jgm_jgz_jga,dom_balance_exchange_par,dom_balance_exchange_non_par,suma_oze
2025-08-21 00:15:00,0.0,1950.0,00:00 - 00:15,,,5223.0,2025-08-20 22:15:00,2327.0,22:00 - 22:15,15100.0,,,2025-08-21,0.0,,9140.0,,,,,2025-08-20 19:24:46.178,4133.0,,1395.0,,19826.0,,,,,4312.0,2025-08-20 17:24:46.178,9140.0,21221.0,1035.0,635.0,1950.0
2025-08-21 00:30:00,0.0,1862.0,00:15 - 00:30,,,5223.0,2025-08-20 22:30:00,2140.0,22:15 - 22:30,14950.0,,,2025-08-21,0.0,,9040.0,,,,,2025-08-20 19:24:46.178,4302.0,,1395.0,,19826.0,,,,,4224.0,2025-08-20 17:24:46.178,9040.0,21221.0,1061.0,635.0,1862.0
2025-08-21 00:45:00,0.0,1792.0,00:30 - 00:45,,,5223.0,2025-08-20 22:45:00,1746.0,22:30 - 22:45,14750.0,,,2025-08-21,0.0,,8759.0,,,,,2025-08-20 19:24:46.178,4696.0,,1395.0,,19826.0,,,,,4154.0,2025-08-20 17:24:46.178,8759.0,21221.0,1209.0,636.0,1792.0
2025-08-21 01:00:00,0.0,1744.0,00:45 - 01:00,,,5223.0,2025-08-20 23:00:00,1727.0,22:45 - 23:00,14550.0,,,2025-08-21,0.0,,8611.0,,,,,2025-08-20 19:24:46.178,5103.0,,1395.0,,19826.0,,,,,4106.0,2025-08-20 17:24:46.178,8611.0,21221.0,1209.0,633.0,1744.0
2025-08-21 01:15:00,0.0,1711.0,01:00 - 01:15,,,5218.0,2025-08-20 23:15:00,1736.0,23:00 - 23:15,14400.0,,,2025-08-21,0.0,,8491.0,,,,,2025-08-20 19:24:46.178,5017.0,,1395.0,,19831.0,,,,,4070.0,2025-08-20 17:24:46.178,8491.0,21226.0,1210.0,640.0,1711.0
2025-08-21 01:30:00,0.0,1643.0,01:15 - 01:30,,,5218.0,2025-08-20 23:30:00,1533.0,23:15 - 23:30,14250.0,,,2025-08-21,0.0,,8288.0,,,,,2025-08-20 19:24:46.178,5220.0,,1395.0,,19831.0,,,,,4002.0,2025-08-20 17:24:46.178,8288.0,21226.0,1329.0,640.0,1643.0
2025-08-21 01:45:00,0.0,1580.0,01:30 - 01:45,,,5218.0,2025-08-20 23:45:00,1477.0,23:30 - 23:45,14100.0,,,2025-08-21,0.0,,8232.0,,,,,2025-08-20 19:24:46.178,5276.0,,1395.0,,19831.0,,,,,3939.0,2025-08-20 17:24:46.178,8232.0,21226.0,1299.0,640.0,1580.0
2025-08-21 02:00:00,0.0,1515.0,01:45 - 02:00,,,5218.0,2025-08-21 00:00:00,1549.0,23:45 - 24:00,14000.0,,,2025-08-21,0.0,,8304.0,,,,,2025-08-20 19:24:46.178,5204.0,,1395.0,,19831.0,,,,,3874.0,2025-08-20 17:24:46.178,8304.0,21226.0,1188.0,640.0,1515.0
2025-08-21 02:15:00,0.0,1461.0,02:00 - 02:15,,,5213.0,2025-08-21 00:15:00,1309.0,00:00 - 00:15,13950.0,,,2025-08-21,0.0,,8064.0,,,,,2025-08-20 19:24:46.178,5449.0,,1395.0,,19836.0,,,,,3818.0,2025-08-20 17:24:46.178,8064.0,21231.0,1436.0,634.0,1461.0
2025-08-21 02:30:00,0.0,1383.0,02:15 - 02:30,,,5213.0,2025-08-21 00:30:00,1249.0,00:15 - 00:30,13900.0,,,2025-08-21,0.0,,8004.0,,,,,2025-08-20 19:24:46.178,5509.0,,1395.0,,19836.0,,,,,3741.0,2025-08-20 17:24:46.178,8004.0,21231.0,1521.0,634.0,1383.0
2025-08-21 02:45:00,0.0,1326.0,02:30 - 02:45,,,5213.0,2025-08-21 00:45:00,1290.0,00:30 - 00:45,13850.0,,,2025-08-21,0.0,,8045.0,,,,,2025-08-20 19:24:46.178,5468.0,,1395.0,,19836.0,,,,,3684.0,2025-08-20 17:24:46.178,8045.0,21231.0,1486.0,634.0,1326.0
2025-08-21 03:00:00,0.0,1258.0,02:45 - 03:00,,,5213.0,2025-08-21 01:00:00,1528.0,00:45 - 01:00,13850.0,,,2025-08-21,0.0,,8154.0,,,,,2025-08-20 19:24:46.178,5133.0,,1395.0,,19836.0,,,,,3616.0,2025-08-20 17:24:46.178,8154.0,21231.0,1440.0,634.0,1258.0
2025-08-21 03:15:00,0.0,1209.0,03:00 - 03:15,,,5213.0,2025-08-21 01:15:00,1322.0,01:00 - 01:15,13850.0,,,2025-08-21,0.0,,7948.0,,,,,2025-08-20 19:24:46.178,5339.0,,1395.0,,19836.0,,,,,3520.0,2025-08-20 17:24:46.178,7948.0,21231.0,1745.0,632.0,1209.0
2025-08-21 03:30:00,0.0,1174.0,03:15 - 03:30,,,5213.0,2025-08-21 01:30:00,1317.0,01:15 - 01:30,13850.0,,,2025-08-21,0.0,,7943.0,,,,,2025-08-20 19:24:46.178,5344.0,,1395.0,,19836.0,,,,,3485.0,2025-08-20 17:24:46.178,7943.0,21231.0,1776.0,632.0,1174.0
2025-08-21 03:45:00,0.0,1133.0,03:30 - 03:45,,,5213.0,2025-08-21 01:45:00,1374.0,01:30 - 01:45,13850.0,,,2025-08-21,0.0,,8000.0,,,,,2025-08-20 19:24:46.178,5287.0,,1395.0,,19836.0,,,,,3445.0,2025-08-20 17:24:46.178,8000.0,21231.0,1774.0,632.0,1133.0
2025-08-21 04:00:00,0.0,1105.0,03:45 - 04:00,,,5213.0,2025-08-21 02:00:00,1452.0,01:45 - 02:00,13850.0,,,2025-08-21,0.0,,8078.0,,,,,2025-08-20 19:24:46.178,5209.0,,1395.0,,19836.0,,,,,3417.0,2025-08-20 17:24:46.178,8078.0,21231.0,1721.0,632.0,1105.0
2025-08-21 04:15:00,0.0,1066.0,04:00 - 04:15,,,5213.0,2025-08-21 02:15:00,1519.0,02:00 - 02:15,14000.0,,,2025-08-21,0.0,,8145.0,,,,,2025-08-20 19:24:46.178,5142.0,,1395.0,,19836.0,,,,,3407.0,2025-08-20 17:24:46.178,8145.0,21231.0,2099.0,344.0,1066.0
2025-08-21 04:30:00,0.0,1029.0,04:15 - 04:30,,,5213.0,2025-08-21 02:30:00,1658.0,02:15 - 02:30,14100.0,,,2025-08-21,0.0,,8284.0,,,,,2025-08-20 19:24:46.178,5003.0,,1395.0,,19836.0,,,,,3371.0,2025-08-20 17:24:46.178,8284.0,21231.0,2093.0,343.0,1029.0
2025-08-21 04:45:00,0.0,996.0,04:30 - 04:45,,,5213.0,2025-08-21 02:45:00,1882.0,02:30 - 02:45,14200.0,,,2025-08-21,0.0,,8517.0,,,,,2025-08-20 19:24:46.178,4780.0,,1395.0,,19836.0,,,,,3337.0,2025-08-20 17:24:46.178,8517.0,21231.0,1995.0,342.0,996.0
